Date,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Run,Hi Speed,Wind Chill,Heat Index,THW Index,Bar,Rain,Rain Rate,Solar Rad.,Solar Energy,Hi Solar Rad.,Heat D-D,Cool D-D,In Temp,In Hum,In Dew,In Heat,ET,Wind Samp,ISS Recept,Arc. Int.,Unnamed: 0,62053,60040,60075,60160,60300,60440,60460,60610,60771,60933,60947,60955,61250,61271,61383,año,mes,nivelRio
2010-05-01,9.19500448028674,9.35356182795699,9.03685035842294,66.15322580645162,2.1708109318996414,2.8886872759856628,0.4825336021505376,7.511693548387097,8.970474910394266,8.633557347670251,8.409341397849463,766.7171370967742,0.9087813620071684,11.81568100358423,70.70318100358423,1.0135640681003584,80.08422939068102,0.0654435483870967,0.0019796146953405,12.659901433691756,54.59543010752688,3.300739247311828,11.868727598566307,0.0103561827956989,220.26344086021507,96.52329749103944,10.0,4,190.485,191.942,192.265,194.09,195.082,196.57,197.0966069715012,197.26,199.52,199.95,198.535,202.357,202.143,202.607,203.005,2010,5,236.2806451612903
2010-06-01,7.458171296296297,7.589768518518519,7.323125,69.23726851851852,1.5217824074074071,4.673680555555555,0.7800532407407407,10.322013888888888,6.916203703703704,7.000347222222222,6.458634259259259,765.3026620370371,0.0031944444444444,0.0122222222222222,55.01967592592593,0.7887037037037037,63.99953703703704,0.0757055555555555,0.000175,10.68923611111111,61.575,3.4678240740740742,10.138981481481482,0.0095509259259259,219.4641203703704,96.23282407407406,10.0,5,190.145,191.342,191.775,193.47,194.742,196.21,196.718,197.04,199.28,200.1508424586977,198.4577811541619,202.127,202.1382682002464,202.9184387021955,203.4321893842661,2010,6,236.1083333333333
2010-07-01,5.355689964157706,5.516039426523298,5.193570788530466,57.20631720430107,-3.256362007168459,4.243794802867383,0.7083355734767025,9.873185483870966,4.784498207885305,4.728606630824372,4.157123655913979,767.3443996415771,8.960573476702509e-05,0.0,69.62410394265233,0.998060035842294,79.59498207885305,0.0902421594982079,0.0001158154121863,9.1277105734767,47.46998207885305,-1.605712365591398,8.332504480286739,0.0114516129032258,218.82594086021507,95.81554659498208,10.0,6,189.945,191.272,191.755,192.91,194.602,196.05,196.688,196.88,199.1,200.0456591639872,198.3097975329388,201.9511143271503,202.0261019821575,202.8893612569641,203.4449790300384,2010,7,236.9
2010-08-01,7.348991935483871,7.5256944444444445,7.174350358422939,50.05040322580645,-3.476164874551971,4.599171146953405,0.7678673835125448,10.601097670250896,6.894780465949821,6.454368279569893,6.00038082437276,768.1619175627239,0.0002240143369175,0.0005824372759856,96.0100806451613,1.3763172043010752,109.7081093189964,0.0770280017921146,0.0007573924731182,10.721639784946236,41.70004480286738,-1.986402329749104,9.638732078853046,0.0157840501792114,219.7513440860215,96.2288082437276,10.0,7,190.485,191.262,191.935,192.67,194.722,196.02,196.868,197.3,199.07,199.96,198.065,201.817,202.1561516203565,202.7084739612068,203.2040714257225,2010,8,236.8429032258065
2011-05-01,9.692181899641575,9.858490143369176,9.525089605734768,60.31675627240143,1.3487007168458782,2.6812275985663083,0.4481339605734767,7.257101254480286,9.57334229390681,8.983758960573477,8.864493727598568,765.6449820788531,0.0002240143369175,0.1845430107526881,75.71931003584228,1.0854502688172043,85.40591397849462,0.0615645161290322,0.0015546594982078,13.663194444444445,45.90232974910394,1.9656810035842296,12.566465053763444,0.0120833333333333,222.5013440860215,97.39025537634409,10.0,16,190.305,191.752,192.305,193.45,194.832,196.4,196.848,197.14,199.37,199.97,198.165,202.007,202.713,202.657,202.695,2011,5,236.6590322580645
2011-06-01,6.6812962962962965,6.829351851851852,6.533032407407407,61.48680555555556,-1.0051157407407407,4.015046296296297,0.6701643518518519,9.124097222222222,6.230138888888889,6.069421296296296,5.617476851851851,764.9337037037037,0.0007407407407407,0.0059259259259259,46.31064814814815,0.6638657407407408,52.665277777777774,0.0810071759259259,8.796296296296295e-05,10.147546296296296,49.09976851851852,-0.1984722222222222,9.317453703703704,0.0094050925925925,224.51620370370367,98.26125,10.0,17,190.005,191.562,192.165,193.41,194.762,196.26,196.428,197.14,199.4,199.98,198.125,201.847,202.643,202.457,202.655,2011,6,236.2433333333333
2011-07-01,5.201881720430107,5.3792114695340505,5.025044802867383,61.8010752688172,-2.353965053763441,3.227643369175627,0.539043458781362,7.293929211469534,4.8269041218638,4.609520609318996,4.2347446236559145,766.0546594982079,0.0021505376344086,0.0136200716845878,52.63373655913978,0.7545295698924731,60.33243727598567,0.0914083781362007,0.000211917562724,8.486917562724013,49.291218637992834,-1.6729390681003584,7.730824372759857,0.0088888888888888,224.372311827957,98.21050627240145,10.0,18,190.025,191.752,192.0608302095053,193.49,194.732,195.93,196.568,196.76,198.89,199.96,197.955,201.707,202.663,202.507,203.595,2011,7,236.2993548387097
2011-08-01,7.951545698924731,8.095362903225807,7.809094982078853,55.0521953405018,-1.6286514336917564,5.143122759856631,0.8583602150537635,11.698409498207884,7.414807347670251,7.163530465949821,6.626568100358423,765.9278449820788,0.0015232974910394,0.0032258064516129,89.31205197132617,1.2802732974910396,102.71146953405018,0.0721715949820788,7.773297491039426e-05,11.112813620071684,46.94489247311828,-0.1552195340501792,10.153875448028671,0.0149305555555555,225.1019265232975,98.4719758064516,10.0,19,190.065,191.702,192.265,193.01,194.712,196.38,196.848,197.42,198.79,199.96,197.805,201.527,202.623,202.457,203.565,2011,8,236.1670967741936
2012-05-01,10.543458781362007,10.691621863799284,10.394668458781362,62.70631720430107,2.8196236559139782,3.006339605734767,0.5022043010752688,7.648790322580646,10.385416666666668,9.931317204301076,9.773163082437277,763.3618055555556,0.000179211469534,0.0,71.11312724014337,1.0194377240143369,80.69713261648747,0.0560817652329749,0.0019854390681003,13.329009856630824,51.704973118279575,3.357706093189964,12.4733646953405,0.0113306451612903,219.7571684587813,96.30266577060932,10.0,28,190.195,190.592,191.365,193.0,195.402,196.1,197.008,197.12,199.31,199.98,198.265,201.997,202.093,202.457,202.955,2012,5,236.4109677419355
2012-06-01,6.734467592592592,6.884305555555556,6.585601851851852,60.207638888888894,-1.2340972222222222,3.616550925925926,0.6038287037037037,8.527731481481482,6.372592592592593,6.10988425925926,5.748078703703704,764.0906944444445,0.0019444444444444,0.0041203703703703,54.96064814814815,0.7878032407407408,63.45625,0.08075,0.0002168981481481,8.955578703703704,51.76990740740741,-0.5887037037037037,8.255092592592593,0.0100393518518518,219.5962962962963,96.16358796296296,10.0,29,190.565,191.232,192.145,194.21,194.262,196.0,197.128,197.22,199.2,199.97,198.095,201.677,202.093,202.537,202.935,2012,6,237.458
