Year-Month,Date,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Run,Hi Speed,Wind Chill,Heat Index,THW Index,Bar,Rain,Rain Rate,Solar Rad.,Solar Energy,Hi Solar Rad.,Heat D-D,Cool D-D,In Temp,In Hum,In Dew,In Heat,ET,Wind Samp,ISS Recept,Arc. Int.
2009-07,2009-07-18 00:00:00,5.739338432635534,5.898687153336912,5.577572016460905,58.374932903918406,-2.7149512435140455,4.835297011987833,0.8069764269100018,10.874400608337806,5.105373277867239,5.116464260153873,4.4822709787081765,767.4250995258544,0.001388888888888889,0.00889917695473251,94.62434022186437,1.3564956834854176,102.91293165145822,0.08757285516192521,0.00010242216854535695,7.883597244587583,53.65905126140633,-1.0968297101449276,7.272824968688496,0.013638620504562535,221.32675791733763,96.98207640007158,10.0
2009-08,2009-08-16 00:00:00,9.385439068100359,9.538463261648745,9.232056451612904,57.91980286738352,0.46991487455197134,3.9337365591397853,0.6572043010752688,9.174417562724013,9.050492831541218,8.655174731182795,8.320497311827957,763.7107526881721,0.002912186379928316,0.0070340501792114695,94.72155017921148,1.3577979390681003,107.28517025089606,0.0639426523297491,0.0017954749103942652,11.297199820788531,53.02732974910394,1.8069892473118279,10.516801075268816,0.014556451612903224,221.14068100358423,96.875,10.0
2009-09,2009-09-15 12:00:00,10.489282407407408,10.65962962962963,10.321597222222222,52.20324074074074,-0.142037037037037,4.350393518518518,0.7262523148148148,10.537175925925927,10.226458333333333,9.522546296296296,9.259282407407406,767.3199305555555,0.0005555555555555557,0.0,161.62106481481482,2.316951388888889,182.34305555555557,0.05651921296296296,0.002048148148148148,13.55574074074074,45.39976851851852,1.626087962962963,12.420810185185186,0.021592592592592594,220.99050925925926,96.81481481481481,10.0
2009-10,2009-10-16 00:00:00,14.77168458781362,14.950716845878137,14.595407706093189,41.81025985663083,0.5911738351254481,6.364493727598566,1.0619511648745519,15.187679211469533,14.387275985663084,13.497244623655913,13.111872759856631,761.4950716845879,4.4802867383512545e-05,0.0,222.04413082437276,3.183082437275986,248.52979390681006,0.0335676523297491,0.00883826164874552,18.073835125448028,34.23521505376344,1.829883512544803,16.528001792114694,0.0331339605734767,221.91823476702507,97.18086917562725,10.0
2009-11,2009-11-15 12:00:00,16.42729066022544,16.589300523349436,16.263044484702093,41.456833735909825,2.135473027375201,6.704969806763285,1.1190175120772947,16.582897544283416,16.08225040257649,15.141669685990339,14.796191626409017,759.7355213365539,0.005092592592592593,0.013333333333333332,284.81623389694045,4.082890801127214,314.493115942029,0.022522785829307567,0.009284722222222224,20.248251811594205,34.58215579710145,3.7061926328502413,18.813254830917874,0.039477254428341386,223.1400966183575,97.67863526570048,10.0
2009-12,2009-12-16 00:00:00,20.13458756927046,20.323022144784353,19.945063300680648,45.891341650347215,6.875381350253571,4.201198170934775,0.7015534512406888,11.595773069991868,20.06027319227398,19.248933322252878,19.175008794520267,760.6685097376204,0.0020725483567652085,0.02084303820631438,306.30014316280375,4.390866022768932,335.97117528382654,0.013191684049317297,0.02565936612601757,24.965827671321026,35.77415323339224,8.379208807160365,24.060190843291362,0.04084861493779516,223.3013494505559,97.71340414834809,10.0
2010-01,2010-01-16 00:00:00,15.519253797855002,15.679427134036182,15.359878573197651,54.647326407455296,4.970002664069255,2.9541007574916085,0.4936151184655062,8.502736501243835,15.384698598435048,14.82879662933073,14.694322653930762,762.0737955937456,0.011414954738757348,0.30519332581208836,174.21325425653177,2.4973814543064394,190.19526217449442,0.03665765995016704,0.016804429287511573,20.199047154123438,41.95437585752802,6.0679803765216676,19.366603735259126,0.023448170788648894,224.6329302941041,97.55415380942249,10.0
2010-02,2010-02-14 12:00:00,17.16126449943128,17.345704240858968,16.978228554524968,50.44596413121779,5.297872462014213,3.6427674325713064,0.6085345759115193,10.083508254071289,17.04242257434366,16.33654016710705,16.217567928897804,758.4999310341633,0.011662874193105039,2.3738726184845267,230.2305393250663,3.3003851138950426,247.2221130004655,0.027364384206239833,0.019051233988872315,19.635999909090827,43.499098480723156,5.866034932259312,18.734372431458983,0.031365298293409845,223.97261027805527,97.65384496258025,10.0
2010-03,2010-03-16 00:00:00,19.2925873540425,19.465813719872468,19.117658057316934,60.93407763814816,10.547203761135655,3.275744847956115,0.547336996895656,9.411836144129529,19.2151902439841,19.010153841168382,18.932667125375215,760.7847086322554,0.0049778178810436875,0.3700622853848661,187.58724900469073,2.689080974636514,209.80152649916602,0.013257194621039688,0.019915687891759237,23.157906426566658,49.90239764748241,11.796365679260957,22.887044884189926,0.025840569690493167,220.0939377496506,96.45967307079415,10.0
2010-04,2010-04-15 12:00:00,13.97162037037037,14.102916666666667,13.836180555555556,58.84652777777777,5.077569444444445,0.36259259259259263,0.060881944444444454,3.743217592592593,13.968032407407406,13.271180555555556,13.267708333333333,759.9024768518518,0.002226851851851852,0.025578703703703704,107.76226851851852,1.5447314814814814,119.33472222222221,0.03654722222222222,0.006245601851851852,18.596412037037037,43.329398148148144,5.729444444444444,17.338124999999998,3.0092592592592593e-05,206.9099537037037,90.7520138888889,10.0
