Freatimetro,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
60095,,"2,81","1,9","1,7","2,05","2,75","2,13",2,"1,34","1,52",,"2,07"
62053,,"2,1","1,3","2,2","2,35","2,82","2,33","1,54","1,84","1,85",,2
60140,,"2,47","3,59","3,1","3,12","3,57","3,95","3,78","2,7","1,65",,"2,86"
60151,,"1,47","2,79","2,73","2,2","2,53","2,12","2,82","2,19","1,32",,"2,26"
60410,,"1,67","2,2","2,23","1,78","2,29","2,22","2,36","1,32","1,56",,"1,38"
60230,,"2,83","2,5","2,55","1,97","2,63","2,82","2,88","1,71","1,5",,"1,83"
60520,,"3,08","2,77","2,8","2,22","2,7","2,94","2,54","1,78","1,28",,"1,79"
60080,,,,,,,,,,,,
60440,,"1,31",,"1,6","1,32","1,47","1,63","1,56",,1,,"1,25"
60300,,"1,05",,"1,76","1,43","1,49","1,73","1,83",,"0,91",,"1,15"
60040,,"1,7",,"2,1","1,75","1,86","2,02","1,94","1,19",,,"1,57"
60430,,"1,47",,"1,41","1,54","1,61","2,04","1,73",,1,,"1,36"
60075,,"1,55",,"2,6","2,03","2,25","1,88","1,78","1,36","1,19",,"1,34"
60160,,"1,44",,"1,81","2,8","2,7","2,81","2,73","1,81","2,12",,"1,62"
60170,,"3,1",,"2,82","2,57","2,93","2,88","2,83","2,77","2,7",,"1,71"
60771,"1,47","1,5","1,51","1,47","1,4","1,7","1,7","1,75","1,24","1,18","1,29","1,4"
60460,"1,76","1,58","1,58","1,58","2,24","2,63","2,7","2,03",2,"1,61","1,64","1,9"
60480,"2,2","2,37","3,5","3,57","2,27","2,25","2,04","2,2","2,04","2,08","1,98","2,04"
60455,"2,47","2,3","2,34","2,35","1,86","2,89","3,25","2,27","2,42","2,05",2,"2,33"
60451,,,,,,,,,,,,
60640,"3,56","3,07","3,15","3,1","3,25","3,5","3,44","3,51","3,08","2,35","2,25","3,2"
60610,"3,4","3,09","3,05","3,11","3,25","3,36","3,26","3,02","3,3","3,04","2,8","3,1"
60590,"3,47","3,51","3,5","3,52","3,32","3,7","4,27","3,81","3,47","3,6","2,39","3,63"
60565,,,,,,,"2,05","2,19",,"1,31","0,71","0,76"
60561,,,,,,,"2,38","2,3",,"1,46","1,16","1,01"
60660,,,,,,,,,,,,
61150,,,,,,,,"2,12",,"1,65","1,38","0,73"
61140,,,,,,,"2,41","2,32",,"0,94",,
60990,,,,,,,"2,63","2,5",,"2,17","1,4","1,8"
60735,,,,,,,"2,21","2,33",,"1,2","0,9","1,11"
60685,,,,,,,,,,,,
60970,"1,73",,,"1,82",barro,barro,barro,"1,68","1,55","1,54","1,4","1,38"
60955,"1,64",,,"2,18","2,84","3,08","3,02","1,7","1,62","1,56","1,48","1,32"
60947,"2,1",,,"2,37","3,01","3,05","3,17","2,3","2,21","2,16","2,2","1,93"
61107,,,,,,,,,,,,
61137,"1,43",,,"2,87","2,92","3,18","3,2","1,28","1,73","1,6","1,55","1,42"
61061,"1,33",,,"1,58",barro,barro,barro,"1,28","1,15","1,1","1,41","1,35"
60927,,,,,"2,97",barro,barro,"1,85","1,7","1,64","1,58","1,59"
60933,"1,7",,,"1,78",barro,barro,barro,"1,62","1,54","1,5","1,47","1,39"
61190,"1,75","1,9","1,98",,"2,02",,,,"2,2","2,18","1,72","1,7"
61341,"1,83","1,8","2,13",,"2,15",,,,,,"2,15","2,12"
61465,"1,78","1,83","1,8",,"1,2",,,,"2,14","2,1","1,1","1,05"
61350,"1,57","1,6","1,56",,"1,57",,,,"1,6","1,58","1,61","1,58"
61210,"1,55","1,6","1,74",,"1,76",,,,"2,63","2,6","1,43","1,4"
61423,"2,16","2,19","2,18",,"2,21",,,,"3,18","3,14","1,97","1,94"
61300,"1,28","1,3","1,35",,"1,36",,,,"1,55","1,53","1,56","1,5"
61271,"2,07","1,88","1,98",,"2,04",,,,"2,44","2,42","1,85","1,82"
54390,,"1,68","1,97",,"2,02",,,,"2,38","2,35","1,82","1,78"
61230,"1,74","1,77","2,08",,"2,1",,,,"3,05","3,02","1,42","1,4"
61250,"2,85","2,9","2,87",,"2,9",,,,"2,93","2,9","2,64","2,6"
61383,"2,46","2,28","2,62",,"2,64",,,,"3,35","3,28","2,12","2,1"
61267,"3,45","3,51","3,61",,"3,63",,,,"3,95","3,1","3,05","2,98"
61390,"4,08","4,15","4,1",,"4,15",,,,,,,
61403,,,,,,,,,,,,
