Freatimetro,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
60095,"1,45","1,45","1,83","1,89","1,7","2,04","2,22","2,03","2,16","0,67","1,67","1,71"
62053,"1,6","2,02","2,08","2,77","1,86","2,28","1,63","1,78","2,34","1,44","2,05","2,1"
60140,"2,45","2,25","2,85","3,07","3,1","3,65","3,82","3,67","3,39","1,69","1,6","2,51"
60151,"2,24","1,48","1,84","1,9","2,27","2,84","2,96","2,76","2,95","1,42","2,04","2,63"
60410,"1,63","1,25","1,43","1,27","2,3","2,22","2,46","1,92","2,12","1,28","1,6","1,34"
60230,"1,28","1,87","2,03","2,45","2,3","2,75","2,83","3,2","2,53","1,67","1,49","1,61"
60520,"1,23","2,1","2,63","2,06","2,7","2,64","2,79","2,81","2,33","1,86","1,7","2,07"
60080,,,,,,,,,,,,
60440,1,"1,26","1,27","1,13","1,04","1,62","1,7","1,52","1,67","1,18","0,9","1,06"
60300,"1,04","1,26","1,05","1,14","1,27","1,86","1,7","1,88","1,9","1,04",1,"1,35"
60040,"1,64","1,86","1,44","1,51","1,51","1,86","1,84","1,96","1,77","1,47","1,38","1,7"
60430,"1,43","1,69","1,45","1,7","1,89","2,03","2,02","1,73","2,1","1,26","1,4","1,43"
60075,"2,24","1,76","1,62","1,49","2,04","2,3","1,85","1,68","2,13","1,45","1,38","2,08"
60160,"1,89","2,7","2,22","2,01","2,62","2,9","2,93","1,91","1,95","1,68","2,04","1,69"
60170,"3,23","2,86","2,83","2,67","3,09","3,1","3,02","2,87","3,32","2,79","2,54","2,92"
60771,"1,74","1,73","1,67","1,59","1,7","1,89","2,04",,"1,76","1,23","1,27","1,49"
60460,"2,43","1,74","1,65","1,47","2,11","2,37","2,17","2,05","2,05","1,45","1,9","1,71"
60480,"2,3","2,43","2,2","2,19","2,43","2,86","2,8","2,76","2,54","2,14","2,49","2,72"
60455,"2,57","2,55","2,66","2,7","2,8","2,87","2,45","2,23","2,66","2,46","2,56","2,52"
60451,"2,98","2,73","2,71","3,47","2,94","3,1","2,77","2,75","2,76","2,34","2,54","3,03"
60640,"3,18","3,16","3,27","2,56","3,27","3,54","3,47","3,6","2,72","3,2","3,35","3,42"
60610,"2,57","2,79","3,61","3,51","3,62","3,48","3,21","3,03","3,1","3,63","3,34","3,53"
60590,"3,67","3,58","3,41","2,72","3,78","3,92","3,77","3,85","2,88","3,57","3,65","3,88"
60565,"0,8","0,9","1,31","1,06","1,4","1,86","2,41","1,9","2,22","1,1","1,49","1,07"
60561,"1,94","1,1","0,9","1,44","1,74","2,27","2,06","2,1","2,04","1,5","1,68","1,22"
60660,"2,1","2,02","2,21","2,25","2,16",,,,,,,
61150,"2,1","2,31","2,35","2,27","2,2","2,5","2,46","2,28","2,6","1,75","2,05","2,02"
61140,"1,05",,"1,88",,"2,32","2,15",,"2,3",,,,
60990,"2,8","2,98","3,1","3,35","2,91","3,25","2,87","2,87","2,94","2,71","2,35","2,48"
60735,"2,34","1,77","1,81","1,65","2,91","2,22","2,34","2,25","2,6","1,48","1,44","1,2"
60685,,,,,,,,"2,17",,,,
60970,"2,15","2,01","1,97",1,"2,29","2,26","2,27","2,25","1,29","1,47","1,9","1,23"
60955,"2,12","2,05","2,32","1,87","2,71","2,56","2,58","3,01","2,39","1,68","2,02","2,37"
60947,"2,53","2,48",2,"2,63","3,01","3,04","3,05","2,53","1,85","1,8","2,43","1,83"
61107,"2,62","2,55","2,52","2,62","3,1","2,96","3,02","2,98",,,,
61137,"2,07",2,"1,48","2,38","3,41","3,26","3,28","3,25","2,3","1,7","2,08","1,67"
61061,"2,49","1,97","1,48","1,27",,"2,13",,,"1,27","1,1","1,85","1,25"
60927,"2,68","2,61","2,45","2,57",,"3,12",,"3,06","2,62","2,25","2,36","2,35"
60933,"2,18","2,06","2,15","2,15",,,,,"1,68","1,54","1,45","1,87"
61190,"2,1","1,74","2,24","2,6","2,06","2,38","2,7","2,49","2,79","2,04","1,84","2,38"
61341,"2,03","2,3","2,19","1,8","2,1","2,21","2,61","2,2","2,37","2,12","2,16","2,38"
61465,"1,74","1,96","1,82","2,05","2,13","2,88","2,9","2,91","2,89","0,9","1,68","1,67"
61350,"2,36","2,4","1,78","1,78","2,15","2,65","1,61","1,62","1,36","1,35","1,37","1,4"
61210,"1,84","1,52","1,77","1,85","2,27","2,72","2,98","2,63","2,98","1,45","1,25","1,38"
61423,"2,09","2,35","2,47","2,45","2,7","3,2","3,25","3,24","3,67","2,45","2,26","2,27"
61300,,,"1,3",,,,"3,25",,"1,26","1,36","1,33","1,35"
61271,"1,77","1,65","2,15","2,22","2,25","1,57","2,46","2,42","2,46","2,16","1,84","1,86"
54390,"2,34","2,75","2,27","3,7","2,31","3,12","3,36","3,12","2,9","1,87","2,13","2,16"
61230,"2,1","1,72","2,62","2,85","2,44","3,24","3,22","3,52","3,55","2,4","1,85","2,65"
61250,"3,2","2,46","2,46","3,45","2,67","2,8","2,88","2,94","3,05","2,51","2,15","1,34"
61383,"2,47","2,45","2,67","2,62","3,22","3,8","2,36","3,1","2,86","2,71","2,72","2,52"
61267,"3,34","3,51","3,48","3,85","3,63","3,29","3,68","3,6","4,08","3,36","3,72","3,57"
61390,"4,23","4,08","4,7","4,45","4,48","4,58","3,93","3,96","4,1","3,79","4,5","4,39"
61403,"1,91","2,38","3,85",,,,,,,,,
