Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
54380;3,1;3,25;3,38;;3,34;3,38;3,42;3,45;3,42;3,35;3,57;3,15
54390;;;;;2,68;2,72;2,75;2,78;2,76;2,68;;2,34
60040;1,85;1,51;1,32;1,34;1,41;1,6;1,41;1,46;1,52;1,55;;1,63
60075;2,16;2,05;1,28;;1,68;1,82;;1,72;1,47;1,62;;1,68
60080;;;;;;1,7;1,78;1,75;1,26;0,8;0,62;
60091;;;;;;2,16;2,24;2,21;1,31;1,72;1,74;
60140;2,6;2,64;2,62;2,58;2,6;3,71;3,8;3,72;3,06;2,9;2,7;
60150;;;;;;;;2,78;;1,8;1,74;
60151;;;;;;2,75;2,81;;;;;
60160;2,61;1,67;1,67;1,38;2,32;2,36;2,28;2,76;1,72;1,68;;1,36
60170;2,28;2,18;2,16;2,25;2,36;2,38;2,33;2,33;2,36;2,19;;2,8
60215;;;;;;;;;2,05;;;
60230;;;;;;3;3,09;3,06;2,47;2,26;1,98;
60300;1,68;1,08;1,03;1,1;1,62;1,69;1,72;1,74;1,22;1,65;;1,13
60410;1,38;1,57;1,47;1,56;1,57;2,02;2,09;2,06;1,57;1,31;1,45;
60430;1,57;1,43;1,31;1,15;1,35;1,48;1,38;1,62;1,26;1,23;;1,2
60440;1,63;1,32;1,28;2,34;1,42;1,56;1,89;1,44;1,82;1,11;;1,08
60451;3,05;3,42;3,4;2,85;3,02;3,95;3,2;3,37;2,85;3,09;3,24;3,52
60455;;;;;;2,21;3,11;3,12;2,15;2,43;2,44;2,62
60460;2,7;1,95;2,05;2,12;2,28;2,7;2,56;2,28;2,9;1,86;1,89;1,92
60520;;;;;;3,3;3,51;3,49;2,51;2,59;2,08;
60561;1,44;1,61;1,54;1,43;2,89;2,48;2,71;2,84;2,14;1,72;0,93;1,25
60565;1,35;1,32;1,14;1,06;1,81;2,1;2,31;2,44;1,65;1,42;0,84;0,92
60590;3,15;3,47;3,51;3,15;3,56;3,4;3,63;3,9;3,25;3,39;3,46;3,5
60610;2,88;2,81;2,9;2,97;3,24;3,24;3,62;2,96;3,17;2,96;2,9;2,82
60620;;;;;;1,6;3,19;3,33;2,15;2,27;2,06;2,1
60640;3,22;3,11;3,15;2,88;2,5;3,02;3,6;3,6;3,2;3,12;3,16;3,2
60660;1,27;2,01;2,02;1,33;2,15;2,16;2,16;2,12;2,13;1,77;1,21;0,91
60681;2,05;2,08;2,32;2,05;2,89;3,07;3,09;3,13;2,75;2,33;2,06;1,83
60731;1,45;1,72;1,89;1,39;2,06;2,07;2,07;2,04;2,02;1,39;1,51;0,45
60735;1,37;1,58;1,58;1,51;2,27;2,23;2,26;2,24;2,23;1,5;1,28;1,35
60740;1,93;1,97;1,92;2,2;3,15;2,5;;;;;;
60760;1,86;1,72;1,74;;;;;;;;;
60771;1,61;1,03;1,05;1,52;1,75;1,72;2,23;2,33;1,9;1,76;1,48;1,73
60810;;;;;;2,1;2,05;1,9;1,6;1,6;1,6;1,6
60927;2,29;2,65;3,06;2,54;3,09;3,12;3,13;3,14;3,19;2,38;2,25;2,8
60933;1,95;1,84;1,96;1,81;2,14;2,13;2,15;2,15;2,11;1,41;1,32;1,71
60947;;2,44;2,67;2,62;3,03;3,07;3,24;3,39;3,28;;;
60951;1,78;2,22;2,62;2,59;2,73;2,94;3,17;3,41;2,76;2,08;1,62;1,76
60955;1,81;2,06;2,4;2,29;2,51;2,67;2,81;2,99;2,58;1,93;1,91;1,96
60970;1,65;1,76;1,85;1,64;2,3;2,43;2,62;2,73;2,15;1,61;1,26;1,25
60990;2,4;2,89;2,98;2,8;3,07;3,05;2,99;2,98;2,94;2,56;2,25;2,48
61031;2,06;2,5;2,71;2,57;2,74;2,75;2,73;2,73;2,55;2,48;2,03;2,35
61040;2,45;2,71;2,79;2,73;3,1;3,13;3,11;3,08;2,11;2,55;2,35;
61061;1,35;1,54;1,83;1,61;2,1;2,27;2,41;2,41;1,72;1,46;1,17;1,21
61107;2,67;2,49;2,83;2,79;2,93;3,16;3,34;3,53;3,02;2,7;2,36;2,62
61110;;1,55;2,51;2,35;2,81;3,04;3,25;3,57;2,96;2,23;1,91;1,56
61137;;;;;;3,2;;;;2,31;1,69;1,61
61140;1,24;1,31;1,61;1,35;2,38;2,56;2,78;2,85;1,79;1,5;1,31;1,06
61150;1,79;1,94;2,09;2,06;2,5;2,55;2,62;2,7;1,85;1,84;1,72;1,79
61110;1,83;;;;;;;;;;;
61137;1,58;1,8;2,46;2,31;2,92;;3,35;3,76;3,15;;;
61190;1,84;1,78;2,27;1,14;2,36;2,33;2,53;2,68;2,07;1,66;1,73;1,96
61210;1,25;1,33;1,87;1,59;2,31;2,63;2,94;3,15;2,68;1,79;1,69;1,42
61230;2,98;3,15;3,27;;3,15;3,2;3,25;3,29;3,26;3,19;3,05;3,04
61250;1,6;1,95;2,2;;2,28;2,35;2,33;2,37;2,34;2,28;2,45;1,95
61267;3,45;3,82;3,95;;4,1;4,25;4,15;4,25;4,2;4,14;3,7;3,9
61270;1,3;1,55;1,75;;1,85;1,95;1,95;2,01;2,08;1,98;1,9;1,85
61271;2,3;2,6;2,85;;2,9;3,1;3,05;3,1;3,05;2,94;2,65;2,53
61341;2,07;2,13;2,35;1,73;2,21;2,42;2,55;2,6;2,36;1,54;1,79;2,04
61350;1,74;1,73;1,83;1,8;1,76;1,77;1,77;1,77;1,78;1,79;1,78;1,33
61381;;;;;2,65;2,7;2,7;2,75;2,72;2,68;;2,44
61383;3,02;3,3;3,55;;3,76;3,8;2,86;2,89;2,85;2,78;3,1;2,64
61385;2,45;2,6;2,77;;2,88;3,1;2,95;2,99;2,93;2,89;2,8;2,7
61390;2,15;2,75;2,9;;3,5;3,8;3,77;3,88;3,84;3,8;1,9;3,62
61403;2,57;2,72;2,97;;3,05;3,15;3,15;3,22;3,19;3,14;2,1;3,12
61423;2,14;2,03;2,9;2,3;2,82;3,27;3,57;3,85;3,37;2,12;2,28;2,26
