Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
60095;;;1,77;1,74;1,95;2,14;2,36;;1,5;;1,15;1,4
62053;;2,1;1,62;2,05;2,06;2,65;2,76;;1,78;;2,32;2,1
60140;;2,89;2,83;1,98;3,7;3,73;3,9;;2,3;;2,98;2,78
60151;;1,83;1,77;2,2;2,9;2,98;3,2;;2,04;;2,5;2,68
60410;;1,22;1,63;1,79;2,02;2,21;2,16;;1,53;;1,21;1,34
60230;;2,3;1,68;2,3;2,86;2,64;3,21;;1,82;;1,42;1,61
60520;;2,09;1,77;2,26;2,9;3,02;2,8;;1,96;;2,2;2,07
60080;roto;roto;roto;roto;roto;roto;roto;;roto;;roto;roto
60440;;1,22;1,73;1,9;1,56;1,6;1,79;;1,18;;0,96;1,06
60300;;1,1;1,52;1,75;1,7;1,4;1,99;;1,37;;1,18;1,35
60040;;1,36;1,71;1,45;2,67;1,7;1,73;;1,32;;1,47;1,7
60430;;1,32;1,45;1,68;1,9;1,42;1,56;;1,2;;1,2;1,43
60075;;1,89;2,1;2,25;3,1;2,05;2,19;;2,66;;2,01;2,08
60160;;1,62;1,76;1,82;2,7;2,8;2,93;;1,56;;2,17;1,69
60170;;1,79;2,1;2,6;2,82;2,9;2,91;;2,89;;2,79;2,97
60771;1,34;1,47;1,56;1,52;1,67;1,4;2;;1,62;1,3;1,41;
60460;1,98;1,78;1,63;1,88;2,45;2,41;;;2,05;1,98;2,4;
60480;2,15;2,1;2,35;2,1;2,2;2,2;2,2;;2,2;2,2;2,08;
60455;2,24;1,92;2,14;2,14;2,5;3,27;;;2,7;2,6;2,06;
60451;roto;roto;roto;roto;tapado;tapado;tapado;;tapado;tapado;tapado;tapado
60640;3,25;2,96;3,1;3,02;3,38;3,57;3,48;;3,35;3,01;2,99;
60610;3,15;2,9;2,83;2,86;3,05;3,25;3,87;;3,1;3,05;3,13;
60590;3,47;3,48;3,6;3,57;4,2;3,65;3,91;;3,65;3,44;3,59;
60565;1,22;1,25;1,46;1,56;cerrado;1,99;;;regado;1,37;1,41;
60561;1,59;1,53;1,54;2,06;2,24;2,41;;;1,51;1,94;1,78;
60660;roto;roto;roto;roto;roto;roto;;;roto;roto;roto;roto
61150;1,95;1,94;2,13;2,26;2,17;2,3;;;1,87;1,59;1,8;
61140;1,41;1,39;cerrado;2,08;cerrado;cerrado;;;1,68;cerrado;1,37;
60990;2,5;2,75;2,92;3,05;2,78;2,86;;;2,9;2,63;2,56;
60735;1,44;1,42;1,76;1,68;2,19;2,29;;;1,4;1,32;1,49;
60685;roto;roto;roto;roto;roto;roto;;;roto;roto;roto;roto
60970;1,32;1,35;1,42;1,18;1,32;barro;barro;1,87;1,62;1,58;;1,47
60955;1,4;1,42;1,77;1,9;2,05;barro;barro;2,71;2,68;2,63;;1,92
60947;1,91;1,87;1,81;2,57;2,71;2,84;2,95;2,35;2,25;2,3;;2,38
61107;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;;roto
61137;1,48;1,55;1,83;2,3;2,43;2,89;barro;2,82;2,75;2,71;;2,35
61061;1,38;1,29;1,48;1,12;1,22;barro;barro;1,79;1,58;1,49;;2,35
60927;1,6;1,48;1,72;1,85;1,87;barro;barro;barro;2,71;2,7;;1,79
60933;1,41;1,27;1,5;1,21;1,3;barro;barro;barro;1,95;1,82;;1,51
61190;1,88;1,72;2,07;2,08;2,18;2,57;2,62;2,75;2,35;1,7;1,63;1,9
61341;1,92;2,28;2,37;2,03;2,3;2,42;2,53;2,6;2,52;1,67;2,1;2,27
61465;1,18;1,62;1,72;1,95;2,14;2,68;2,84;2,85;2,42;1,3;1,3;1,47
61350;tapado;1,1;1,4;1,6;1,62;1,62;1,63;1,62;1,58;1,58;1,62;1,62
61210;1,48;1,63;1,8;1,88;2,1;2,6;3,07;3,1;2,78;1,42;1,52;1,62
61423;1,7;1,9;2,21;2,67;2,68;3,18;3,74;3,71;3,54;2,05;2,07;2,02
61300;tapado;1,35;1,33;1,37;1,4;1,38;1,57;1,57;1,53;1,54;1,57;1,56
61271;1,94;1,98;2,17;2,1;2,17;2,45;2,73;2,93;2,92;2,32;2,05;1,98
54390;1,78;1,88;2,38;2,42;2,52;2,98;3,57;3,74;2,85;1,97;2,02;2,56
61230;1,88;1,72;2,32;2,6;2,84;3,22;3,45;3,84;3,4;2,06;1,98;2,23
61250;2,7;2,88;2,98;2,97;2,98;3,08;3,02;3,6;3,47;2,98;2,96;2,98
61383;2,34;2,44;2,48;2,58;2,53;2,53;2,48;2,56;2,53;2,6;2,53;2,5
61267;3,48;3,24;3,95;3,58;3,94;4,03;4,07;4,55;4,56;3,42;3,2;3,5
61390;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado
61403;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado
