Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
60095;1,7;1,88;1,92;2,01;2,01;2,23;;;;;;
62053;2,4;2,36;1,5;1,42;2,4;2,86;;;;;;
60140;3;3,19;2,89;2,79;3,4;2,89;;;;;;
60151;1,99;2,12;2,54;2,47;2,63;3;;;;;;
60410;1,7;1,53;1,4;1,28;1,87;2,5;;;;;;
60230;2,18;2,05;1,9;1,8;2,06;2,66;;;;;;
60520;2,4;1,7;2,28;2,01;2,83;2,89;;;;;;
60080;roto;roto;roto;roto;roto;roto;;;;;;
60440;0,6;0,73;1,39;1,2;1,61;1,68;;;;;;
60300;1,6;1,51;1,33;1,28;1,7;2,1;;;;;;
60040;1,6;1,51;1,12;1,05;1,83;1,29;;;;;;
60430;2,2;1,27;1,34;1,26;1,67;2,16;;;;;;
60075;2,7;2,16;1,7;1,5;2,35;2,69;;;;;;
60160;300;2,43;2,48;2,76;2,9;2,74;;;;;;
60170;3,7;2,04;2,88;2,7;3,1;3,05;;;;;;
60771;1,55;0,97;1,5;1,42;1,61;2;;;;;;
60460;1,93;2,07;2,03;1,54;2,03;2,57;;;;;;
60480;2,2;2,2;2,2;2,2;2,2;2,2;;;;;;
60455;2,37;2,52;2,32;2,5;2,7;3,1;;;;;;
60451;tapado;tapado;tapado;tapado;tapado;tapado;;;;;;
60640;2,98;3,56;3,07;3;3,23;3,5;;;;;;
60610;3,2;3,07;3,25;3,42;3,71;3,93;;;;;;
60590;3,62;3,62;3,79;3,65;3,93;3,9;;;;;;
60565;1,27;1,28;1,14;0,99;1,48;2,03;;;;;;
60561;1,55;1,42;1,7;1,53;1,9;2,49;;;;;;
60660;roto;roto;roto;roto;roto;roto;;;;;;
61150;2,86;2,21;;2,09;2,14;cerrado;;;;;;
61140;cerrado;1,58;1,87;cerrado;1,84;cerrado;;;;;;
60990;2,85;2,85;;cerrado;cerrado;2,82;;;;;;
60735;1,5;1,4;1,83;roto;roto;roto;;;;;;
60685;roto;roto;roto;roto;roto;roto;;;;;;
60970;1,21;2,38;1,29;1,32;1,38;;;;;;;
60955;1,95;1,97;1,87;2,01;2,4;;;;;;;
60947;2,35;1,19;2,38;2,4;2,05;;;;;;;
61107;roto;roto;roto;roto;roto;;;;;;;
61137;1,73;1,76;1,83;1,89;2,17;;;;;;;
61061;1,2;1,15;1,34;1,41;1,43;;;;;;;
60927;barro;barro;barro;barro;barro;;;;;;;
60933;2,06;1,9;1,72;1,8;1,81;;;;;;;
61190;1,15;1,12;1,2;1,22;;2,42;;;;;;
61341;roto;roto;roto;roto;roto;roto;;;;;;
61465;1,22;1,2;1,26;1,26;;2,82;;;;;;
61350;1,57;1,58;1,58;1,58;;1,64;;;;;;
61210;1,02;1,03;1,06;1,08;;tapado;;;;;;
61423;1,82;1,8;1,86;1,88;;3,72;;;;;;
61300;1,55;1,56;1,56;1,56;;1,32;;;;;;
61271;2,12;2,08;2,16;2,18;;2,7;;;;;;
54390;1,74;1,72;1,77;1,8;;3,2;;;;;;
61230;1,62;1,6;1,65;1,68;;3,12;;;;;;
61250;3,1;3,07;3,15;3,16;;3,18;;;;;;
61383;2,35;2,32;2,4;2,42;;2,6;;;;;;
61267;3,55;3,52;3,58;3,6;;4,8;;;;;;
61390;tapado;tapado;tapado;tapado;tapado;tapado;;;;;;
61403;roto;roto;roto;roto;roto;roto;;;;;;
