Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
54380;3,48;3,52;3,74;3,7;3,75;3,75;3,75;;;;3,4;3,35
54390;2,8;2,83;2,72;2,77;2,77;2,83;2,83;;;;2,68;2,64
60040;1,56;1,62;1,47;1,76;2,57;1,93;1,93;;1,68;1,68;1,53;1,32
60075;1,19;1,23;1,36;1,8;2,62;1,84;1,84;;1,37;1,57;2,11;2,02
60080;1,34;1,27;1,4;1,18;1,4;1,78;1,78;1,8;1,35;1,03;1,06;1,2
60091;1,7;1,69;1,64;1,64;1,87;2,21;2,21;2,3;1,97;1,23;1,61;1,35
60140;2,97;2,76;3,06;3,15;3,34;3,84;3,84;3,86;3,3;2,62;2,62;2,6
60150;1,76;1,71;2,1;1,75;2,44;2,9;2,9;1,95;1,8;1,73;1,37;1,53
60160;2,39;2,46;1,49;1,45;2,77;1,56;1,56;;1,54;1,51;1,86;1,76
60170;2,5;2,58;2,58;2,99;2,76;2,85;2,85;;1,74;1,74;3,04;3,04
60230;2,04;2,02;2,02;2,12;2,6;3,11;3,11;3,16;3,08;1,97;1,78;1,9
60300;1,17;1,23;0,87;1,36;1,05;2,19;2,19;;1,05;1,05;1,1;1,02
60410;1,29;1,31;1,61;1,16;1,95;2,11;2,11;2,1;1,72;1,17;1,36;1,25
60430;1,54;1,62;1,54;1,2;1,25;1,86;1,86;;1,7;1,7;1,05;1,01
60440;1,18;1,25;1,56;1,72;1,72;1,82;1,82;;1,22;1,22;1,62;
60451;3,37;3,4;3,3;3,32;2,78;2,67;2,67;;;3,3;;
60455;2,28;2,28;2,74;2,7;2,74;2,32;2,32;;;2,75;2,46;2,51
60460;1,91;1,96;2,05;2,07;2,12;2;2;;;2,05;1,91;2,01
60470;;;;;;;;;;;3,37;2,25
60520;2,13;2,16;2,34;2,33;2,82;2,31;2,31;3,46;3,12;2,17;1,94;1,91
60561;1,29;1,04;2,02;1,23;2;2,58;2,58;2,63;1,42;1,59;1,07;1,05
60565;1,04;0,98;1,66;0,81;1,62;2,22;2,22;2,3;1,22;1,35;0,89;0,86
60590;3,38;3,38;3,33;3,2;3,75;3,9;3,9;;;;3,42;
60610;2,83;2,85;2,1;2,11;3,26;3,16;3,16;;;2,4;2,8;2,72
