Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
60620;1,83;1,85;1,9;1,9;2,51;2,7;2,7;;;1,82;2;2,12
60640;2,91;2,96;2,9;2,8;3,38;3,59;3,59;;;2,9;3,27;3,2
60660;1,49;2,05;;1,94;2,12;2,16;2,16;2,13;1,87;1,87;1,41;1,34
60681;;2,06;2,54;2,07;2,68;3,05;3,05;3,09;2,21;1,97;1,79;2,05
60731;1,48;1,53;2,04;1,83;2,04;2,06;2,06;;1,8;1,75;1,67;1,62
60735;1,37;1,71;2,06;1,14;2;2,24;2,24;2,25;1,38;1,38;1,29;1,26
60771;;1,9;1,95;1,93;1,81;1,92;1,92;;;1,79;1,74;1,73
60810;1,62;1,7;1,71;1,6;1,8;1,8;1,8;;;1,65;1,6;1,6
60927;2,27;3,06;3,13;3,02;3,1;3,12;3,12;;3,02;2,36;2,37;2,37
60933;1,68;1,78;1,95;2,01;2,13;2,14;2,14;;1,76;1,64;1,63;1,62
60947;;;;;2,93;3,1;3,1;;2,5;2,33;2,16;2,05
60951;1,77;2,57;2,99;2,41;2,91;3,25;3,25;;3,1;1,74;1,65;1,56
60955;1,9;2;2,54;2,26;2,52;2,84;2,84;;2,82;1,81;1,75;1,7
60970;1,24;2,13;2,25;1,14;2,15;2,59;2,59;;1,59;1,47;1,22;0,98
60990;2,6;2,84;3,08;3,01;2,79;2,91;2,91;2,89;2,64;2,21;2,26;2,22
61031;2,46;2,71;;2,71;;;;;;;;
61061;1,23;1,79;2,17;1,41;1,97;2,38;2,38;;1,84;1,31;1,16;1
61107;2,45;2,63;2,77;2,62;2,96;2,67;2,67;;2,9;2,37;2,37;2,35
61110;1,84;2,42;2,78;2,15;2,83;3,35;3,35;;3,28;1,94;1,62;1,34
61137;1,71;2,38;2,7;2,35;2,87;3,58;3,58;;3,03;2,2;1,82;1,4
61140;1,46;1,59;2,3;1,47;2,34;2,6;2,6;2,89;1,68;1,53;1,03;0,92
61150;1,77;2,09;2,53;2,12;2,17;2,61;2,61;2,53;1,8;1,72;1,53;1,49
61190;1,82;2,06;2,53;1,89;2,31;2,51;2,51;2,57;1,99;1,87;1,6;1,83
61210;1,31;1,93;2,36;1,45;1,99;2,83;2,83;3,05;2,32;1,63;1,45;1,03
61230;3,32;3,35;2,5;2,44;2,52;3,25;3,25;;;;3,2;3,1
61250;2,38;2,41;2,88;2,8;2,9;2,9;2,9;;;;1,3;1,1
61267;4,28;4,32;4,02;3,97;4,05;4,05;4,05;;;;4,15;4,05
61270;2,13;2,15;2,18;2,13;2,2;2,27;2,27;;;;2,05;1,2
61271;3,1;3,16;3,02;2,91;3,1;3,02;3,02;;;;2,98;2,85
61341;1,89;2,07;2,37;1,83;2,12;2,49;2,49;2,46;1,83;1,64;1,77;1,64
61350;1,69;1,75;1,78;1,73;1,68;1,67;1,67;1,67;1,67;1,69;1,65;1,7
61381;2,76;2,79;2,75;2,75;2,75;;;;;;2,7;2,02
61383;2,88;2,93;3,47;3,43;3,5;3,52;3,52;;;;2,78;2,65
61385;3,02;3,06;3,08;2,98;3,1;3,2;3,2;;;;2,85;2,83
61390;3,88;3,92;3,15;3,04;3,11;3,15;3,15;;;;3,77;3,7
61403;3,22;3,25;3,12;2,95;3,05;3,06;3,06;;;;3,14;2,42
61423;2,1;2,56;3,03;2,21;2,75;3,51;3,51;3,73;2,89;2,34;2,02;2,03
61461;1,65;1,98;2,32;1,77;2,73;2,92;2,92;2,91;2,07;1,81;1,74;1,79
61490;3,65;3,68;2,04;3,3;3,4;3,42;3,42;;;;3,58;3,45
61500;1,83;2,05;2;1,82;2,24;2,28;2,28;2,27;1,83;2,06;1,61;
62053;1,87;1,73;2,26;1,74;2,21;1,84;1,84;1,73;1,89;1,93;1,94;2,03
62055;2,36;2,32;2,36;2,46;2,48;2,54;2,54;2,6;1,92;2,15;1,97;2,05
