Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
54390;;2,78;2,8;2,8;2,85;2,87;2,86;;2,83;2,8;2,79;2,75
60040;;1,75;1,6;1,49;1,65;2,21;2,31;1;1,6;;;1,78
60075;;1,92;1,67;1,61;1,92;1,94;;1,22;1,36;;;2,01
60080;;1,41;0,92;0,79;1,2;1,48;1,72;1,7;;;;
60095;;1,26;1,18;1,16;1,65;1,85;2,1;2,24;1,22;1,31;1,39;
60140;;2,97;2,96;3,06;3,16;3,37;3,63;3,6;2,73;2,55;2,53;2,52
60160;;1,68;1,78;1,7;1,86;1,86;1,4;1,89;;;;2,77
60230;;2,27;1,92;1,56;2,25;2,42;2,76;2,82;2,05;1,54;1,52;1,6
60300;;1,63;1,3;1,4;1,47;1,71;2,06;1,06;1,1;;;1,2
60410;;1,49;1,25;1,38;1,78;2,06;2,06;2,06;1,2;1,36;1,25;1,25
60430;;1,72;1,5;1,51;1,64;1,98;2,08;1,43;1,5;;;1,08
60440;;1,36;1,22;1,12;1,37;1,66;1,06;;1,3;;;1,05
60455;;2,2;2,52;2,31;2,78;2,84;2,82;;2,18;1,83;2,17;2,32
60460;;1,55;1,38;1,54;2,27;2,2;2,3;;1,68;1,13;1,6;1,76
60520;;2,26;2,03;2,08;2,4;2,7;3,17;3,31;2,09;1,72;1,8;1,79
60561;;1,42;;;2,04;2,35;2,57;;;;1,19;
60565;;1,21;;;1,67;2,05;2,26;;;;0,87;
60590;;3,44;3,57;3,4;3,7;3,85;3,87;;3,8;3,46;3,51;3,49
60610;;2,99;3,17;2,8;3,16;2,94;3,32;;2,79;2,7;3,05;2,96
60660;;2,12;;;2,18;2,17;2,17;;;;1,38;
60735;;1,54;;;2,18;2,23;2,25;;;;1,17;
60771;;1,75;1,5;1,39;1,8;2,02;2,21;;1,49;1,03;1,22;1,05
60927;;;2,87;;;3,1;;;;;;
60933;;;1,19;1,68;;2,1;;;;;;
60947;;;2,67;2,65;;3;;;;;;
60955;;;2,13;2,23;;2,6;;;;;;
60970;;;1,83;1,97;;2,5;;;;;;
60990;;3,13;;;3,07;3,14;3,27;;;;2,71;
61061;;;1,35;1,7;;;;;;;;
61107;;;1,92;2,87;;2,95;;;;;;
61137;;;2,39;1,84;;2,63;;;;;;
61140;;;;;;2,07;2,88;;;;;
61150;;2,09;;;2,4;2,53;2,7;;;;1,73;
61190;;2,24;2;1,89;2,22;2,4;2,55;2,7;2,15;1,69;1,7;1,67
61210;;2,19;1,85;1,45;2,2;2,63;2,77;3,08;2,76;1,56;1;1
61230;;3,18;3,25;3,24;3,28;3,3;3,28;;3,26;3,22;3,18;3,14
61250;;2,92;2,95;2,88;2,93;2,95;2,93;;2,9;2,85;2,82;2,77
61271;;2,96;3,1;3,02;3,06;3,1;3,06;;3,02;2,9;2,96;2,93
61341;;2,14;2,55;1,91;2,29;2,46;2,65;2,65;1,97;1,52;1,82;1,97
61350;;1,67;1,6;1,68;1,68;1,69;1,68;1,7;1,72;1,6;1,52;1,08
61383;;3,41;3,45;3,51;3,55;3,57;3,55;;3,52;3,49;3,4;3,38
61390;;3,14;3,17;3,17;3,2;3,25;3,22;;3,18;3,15;3,12;3,1
61403;;2,96;3,02;3,06;3,1;3,14;3,08;;3,04;3,02;2,96;2,93
61423;;2,71;2,38;2,39;2,86;3,35;3,71;3,91;3,34;2,4;2,1;2,15
62053;;2,02;1,63;1,63;2,08;2,25;1,85;1,83;1,72;1,37;1,62;1,61
