Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
54380;;;;3,76;;3,76;;3,77;;3,68;3,64;
54390;;;;2,78;;2,85;;2,88;;2,8;2,74;
60040;;;;2,12;;2,27;2,26;2,37;2,29;1,33;2,07;
60075;;;;1,97;;2,04;1,96;2,11;2,18;1,72;1,65;
60080;1,1;1,6;1,15;0,75;;;1,76;1,72;0,93;0,96;0,87;0,8
60091;;1,88;;;;;;;;;;
60095;1,32;;1,53;1,35;;;1,86;2,24;1,25;1,19;1,12;1,19
60140;2,43;2,98;2,93;2,7;;;;3,62;2,75;2,8;2,4;2,38
60150;1,6;1,64;1,56;1,38;;;2,8;2,84;1,42;1,46;1,61;1,59
60160;;;;2,76;;1,66;1,78;1,66;1,71;1,87;1,72;
60173;;;;1,56;;2,9;2,78;3,05;2,8;2,76;2,92;
60230;1,67;2,54;2,24;2,6;;;2,82;2,87;2,05;2,09;1,68;1,67
60300;;;;1,62;;1,3;2,13;1,8;1,82;1,15;1,27;
60410;1,2;1,62;1,36;1,4;;;2,06;2,06;1,2;1,23;1,34;1,27
60430;;;;2,23;;1,53;2,14;2,05;1,76;1,62;1,37;
60440;;;;1,08;;1,38;1,96;1,79;1,73;1,25;1,14;
60455;3,25;;1,71;2;1,65;2,75;2,26;2,75;2,43;2,05;2,28;2,79
60460;2,18;;2,77;3;2,56;2,25;2,24;2,37;2,04;1,58;1,73;1,7
60470;2,25;;3,39;2,52;2,66;2,66;2,88;3,05;2,67;2,23;2,98;2,76
60520;2,08;2,84;2,32;2,86;;;3,15;3,34;2,15;2,19;1,79;1,8
60561;1,15;;;;;2,05;2,36;;1,39;1,39;1,34;
60565;0,82;;;;;1,73;2,25;;1,13;1,13;1,19;
60590;2,72;;3,36;3,5;3,76;3,75;3,88;3,82;3,25;3,09;3,31;3,08
60610;2,23;;3,21;3,07;2,9;2,92;3,16;3,32;3,07;2,56;2,81;3,05
60640;3,26;;3,09;3,11;3,5;3,35;3,5;3,54;3,15;3;3,07;3,01
60660;1,97;;;;;2,13;2,15;;1,73;;;
60681;2,15;;;;;2,66;2,84;;2,05;2,05;2,01;
60731;;;;;;2,03;2,05;;1,99;1,99;;
60735;1,58;;;;;2,13;2,25;;1,48;1,48;1,43;
60771;1,82;;1,79;1,58;1,15;1,95;2,18;2,17;1,41;1,35;1,36;1,4
60810;1,8;;;;1,6;;;1,6;1,68;;;
60927;;;;;;;2,85;;;2,65;;
60933;;;;;;;3,02;;;0,85;;
60947;;;;;;;3,04;;;2,35;;
60955;;;;;;2,27;2,63;;;1,91;;
60970;;;;;;2,25;2,15;;;1,88;;
60990;2,83;;;;;2,7;2,88;;2,82;2,82;2,54;
61035;;;;;;;;;;1,73;1,43;
61061;;;;;;;2,16;;;1,51;;
61107;;;;;;;3,08;;;2,67;;
61137;;;;;;2,18;3,36;;;2,59;;
61140;1,47;;;;;2,07;2,46;;;;1,83;
61150;;;;;;1,95;2,26;;1,99;1,99;2,09;
61190;2,07;1,6;1,93;1,67;1,95;2,08;2,32;2,35;1,54;1,85;1,55;1,82
61210;1,46;1,59;1,56;1,3;1,92;2,16;2,55;2,9;2;;1,31;1,21
61230;;;;2,55;;3,27;;3,29;;3,19;3,15;
61250;;;;2,92;;2,93;;2,93;;2,83;2,88;
61267;;;;4,06;;4,1;;4,1;;3,98;3,94;
61270;;;;2,24;;2,3;;2,32;;2,23;2,19;
61271;;;;3,05;;3,07;;3,08;;2,98;2,93;
61341;2,14;1,94;2,02;1,55;1,84;2,13;2,48;2,52;;1,55;1,64;1,92
61350;1,56;1,58;1,6;1,32;1,59;1,63;1,65;1,67;1,58;1,57;1,61;1,61
61381;;;;2,78;;;;;;;;
61383;;;;3,5;;3,55;;3,56;;3,41;3,38;
61385;;;;3,12;;3,27;;3,3;;3,19;3,14;
61390;;;;3,2;;3,22;;3,21;;3,14;3,1;
61403;;;;3,16;;3,12;;3,1;;2,98;2,93;
61423;2,33;2,31;2,42;2,03;2,78;3;3,4;3,76;2,93;2,61;1,81;2,11
61461;2,02;1,66;2;1,69;2,52;2,7;2,88;2,95;2,1;1,87;1,7;1,8
61490;;;;2,08;;3,45;;3,46;;3,37;3,32;
62053;1,69;1,98;2;1,6;;;1,96;2;1,63;1,69;1,84;1,86
62055;1,79;2,25;2,36;1,94;;;2,42;2,48;1,93;1,96;2,09;2,08
