Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
54380;3,35;3,45;3,5;;;;;3,77;;;3,3;
54390;2,6;2,74;2,77;2,84;2,86;2,87;;2,85;;;2,6;
60040;1,47;1,32;;1,3;2,29;1,87;2,1;2;1,8;;;
60075;1,52;1,44;;1,34;2,18;2,64;2,78;2,8;2,4;;;
60080;1,05;1,24;1,24;1,13;1,72;1,82;1,81;1,83;1,22;;1,25;1,21
60091;1,79;1,39;1,55;1,32;;;;;;;;
60095;;;;;2,24;2;1,98;2,02;1,9;;1,33;1,86
60140;2,48;2,5;2,88;2,5;3,62;3,36;3,34;3,35;3,17;;2,56;3,11
60150;1,88;1,87;1,65;1,83;2,84;2,6;2,59;2,62;1,81;;1,72;1,81
60160;1,55;1,67;;1,52;1,71;2,95;3,03;3,37;3,1;;;
60170;2,46;2,56;;;;;;;;;;
60173;;;;2,54;2,8;2,52;3,2;2,95;2,75;;;
60230;1,87;1,95;2,01;2,08;2,87;2,72;2,71;2,74;2,72;;1,95;2,12
60300;1,1;1,03;;1,07;1,82;1,72;2,23;2,23;2,05;;;
60410;1,06;1,23;1,54;1,32;2,06;2,06;2,05;2,06;1,81;;1,28;1,72
60430;1,23;1,17;;1,89;1,76;2,05;2,05;2,1;1,98;;;
60440;1,25;1,23;;1,29;1,73;1,7;1,84;1,97;1,7;;;
60451;;;;;;;;;;;;
60455;2,57;2,68;2,28;2,25;2.43;2,5;3,28;3,38;3;2,05;2,28;2,52
60460;1,81;1,94;2,46;1,5;2,31;2,1;2,8;2,86;2,31;1,58;1,73;2,05
60470;2,54;2,6;2,46;2,26;2,67;2,71;3,58;3,43;3,86;2,23;2,98;2,98
60480;;;;;;;;;;;;
60520;1,99;2,05;2,36;2,33;3,34;3,11;3,09;3,14;2,8;;2,15;2,3
60561;;1,38;;1,79;2,39;2,36;2,66;;;;;
60565;3,15;0,98;;1,42;1,79;1,95;2,28;;;;;
60590;;3,59;3,47;3,5;3,3;3,7;3,87;3,63;3,35;3,09;3,31;3,4
60610;3,11;2,91;3,05;3,2;3,05;2,26;3,77;3,72;3,5;2,56;2,81;3,02
60620;1,89;1,9;2,35;1,25;2,25;2,7;3,33;3,45;;;;
60640;2,9;3,06;3,22;3,19;3,1;3,36;3,66;3,5;3,15;3;3,07;3,1
60660;;1,89;;1,93;2,15;2,18;2,16;;;;;
60681;;2,14;;2,06;2,74;2,91;3,1;;;;;
60731;;;;1,96;2,04;2,07;2,04;;;;;
60735;;1,55;;1,57;2,23;2,26;2,28;;;;;
60771;1,7;1,9;1,91;1,49;1,75;1,82;;2,36;1,9;1,35;1,36;1,5
60810;1,51;1,65;1,6;1,6;1,6;1,67;1,6;1,6;1,6;1,6;1,6;1,68
60927;2,65;2,42;3,17;3,22;;;;;;;;
60933;1,7;1,7;1,91;2,23;;;;;;;;
60947;2,23;2,6;2,63;2,71;2,95;;;2,48;;;;
60951;2,09;2,39;2,64;2,77;3,1;;;;;;;
60955;1,98;2,08;2,13;2,35;2,6;;;3,25;;;;
60970;1,77;1,02;2,02;2,12;2,55;;;;;;;
60990;;2,71;;2,83;2,92;2,82;3,08;;;;;
61061;1,43;1,15;2,06;1,97;2,31;;;;;;;
61107;2,61;2,5;2,4;2,81;3,15;;;;;;;
61110;1,49;1,92;2,51;2,63;3,05;;;3,55;;;;
61137;1,87;1,46;2,51;2,45;3,32;;;;;;;
61140;;1,63;;;2,57;2,53;3,03;;;;;
61150;;1,67;;2,01;2,37;2,38;2,64;;;;;
61190;1,77;1,86;2,24;2,07;2,73;2,69;2,68;2,77;;1,57;1,64;1,86
61210;1,47;1,83;2,22;2,24;2,59;3,07;3,02;3,06;;1,5;1,31;1,01
61230;3,1;3,24;3,32;2,95;2,97;3,1;;3,27;;;3,1;
61250;1,4;1,4;1,55;2,61;2,63;2,67;;2,92;;;1,05;
61267;4,03;4,2;4,3;3,82;3,85;3,88;;4,07;;;3,8;
61270;1,95;2,11;2,2;2,3;;2,4;;2,3;;;1,9;
61271;2,9;3,05;3,15;;2,34;;;3,05;;;2,83;
61341;1,7;2;2,34;2,19;2,3;2,54;2,61;2,65;;1,64;1,89;2,13
61350;1,65;1,68;1,67;1,68;1,68;1,78;1,68;1,69;;1,53;1,64;1,6
61381;2,66;2,74;2,85;;;;;;;;1,95;
61383;2,72;2,83;2,88;3,04;3,07;3,1;;3,55;;;2,6;
61385;2,75;2,9;2,94;2,9;3,1;2,95;;3,22;;;2,69;
61390;3,7;2,85;3,88;4,52;4,35;4,58;;3,2;;;3,58;
61403;3,1;3,19;3,25;2,72;2,76;2,78;;3,08;;;3,02;
61423;1,74;2,14;2,39;2,29;2,94;3,52;3,67;3,87;;2,17;2,09;2,26
61461;1,6;1,54;2,08;2,07;2,64;2,93;2,94;2,89;;1,44;1,54;1,71
61490;3,5;3,64;3,68;2,75;2,79;;;3,45;;;3,35;
62053;1,79;1,87;1,94;2,3;2;2,48;2,46;2,49;2,16;;1,9;1,99
62055;1,99;1,52;2,36;2,35;2,48;2,63;2,61;2,64;2,29;;2;2,06
