Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
60095;1,25;1,29;1,27;1,49;1,97;2,04;2,36;2,31;;1,6;;
62053;2,17;2,28;2,27;2,28;2,48;2,93;3,29;2,9;;2;;
60140;2,39;2,7;2,9;2,74;3,19;3,34;3,25;3,75;;2,2;;
60151;2,72;2,08;2,13;2,07;2,39;2,78;3,22;3,14;;2,08;;
60410;1,41;1,53;1,67;1,52;2,16;2,15;2,36;2,76;;1,4;;
60230;1,68;1,99;2,2;1,68;2,67;2,8;3,26;2,4;;2,3;;
60520;2,13;2,05;2,56;2,05;2,72;2,6;2,42;3,05;;1,6;;
60080;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto
60440;1,13;1,59;1,6;1,02;1,68;1,68;2,01;1,92;;0,9;;
60300;1,42;1,61;1,72;1,43;1,7;1,7;2,3;2,43;;1,34;;
60040;1,79;1,95;1,17;1,5;1,89;1,8;2,02;1,99;;1,02;;
60430;1,5;1,56;1,68;1,3;1,84;1,84;2,2;2,26;;1,55;;
60075;2,15;2,1;2,1;2,09;1,9;1,9;2,5;2,47;;1,6;;
60160;1,72;1,81;1,72;1,71;1,68;3,02;3,05;2,79;;2,34;;
60170;2,99;3,06;2,86;2,89;3,06;3,06;2,93;2,1;;2,3;;
60771;1,35;1,31;1,73;1,68;1,9;;2,11;2,23;2,05;1,06;;1,6
60460;2,02;1,98;2,05;2,74;2,93;;3,06;3,5;2,05;2,01;;2,05
60480;1,82;1,71;2,21;2,2;2,2;;2,2;2,2;2,2;2,09;;1,92
60455;2,62;2,68;2,74;2;2,85;;3,23;2,73;2,76;2,5;;2,36
60451;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado
60640;3,1;3,15;3,09;3,01;3,91;;3,94;3,64;3,77;3,4;;3,08
60610;3,7;3,88;3,8;3,73;3,73;;3,97;3,92;3,86;3,1;;3,36
60590;3,64;3,68;3,61;3,53;3,97;;3,92;3,69;3,56;3,53;;3,8
60565;1,72;;1,58;1,31;1,94;2,15;2,33;;;1,05;;
60561;1,88;;1,62;1,79;2,33;2,54;2,66;;;1,39;;
60660;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto
61150;2,2;;2,1;2,62;2,43;2,53;2,55;;;1,7;;
61140;1,68;;2,24;1,82;2,56;2,75;cerrado;;;1;;
60990;2,78;;3,05;2,92;cerrado;;3,05;;;2,64;;
60735;1,68;;1,81;1,74;2,25;2,26;2,26;;;1,5;;
60685;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto
60970;1,73;1,97;2,28;1,97;;barro;barro;barro;1,25;1,18;1,21;1,19
60955;2,17;2,29;2,54;2,76;;2,87;2,94;3,38;2,07;2,23;2,27;1,87
60947;2,63;2,69;2,78;2,85;;3,31;3,37;3,51;2,38;2,43;2,31;2,38
61107;roto;roto;roto;roto;;roto;roto;roto;roto;roto;roto;roto
61137;2,72;2,77;2,92;2,95;;3,59;3,65;3,63;2,05;2,27;2,38;2,05
61061;1,42;1,53;1,7;1,84;;barro;barro;barro;1,28;1,23;1,17;1,15
60927;2,15;2,14;2,32;2,11;;barro;barro;barro;barro;barro;barro;barro
60933;1,62;1,68;1,75;1,92;;barro;barro;barro;2;1,65;1,18;2
61190;2,25;1,88;1,9;1,94;2,52;2,52;2,54;2,56;2,53;1,22;120;1,18
61341;2,4;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto;roto
61465;1,05;1,55;1,58;1,62;2,6;2,82;2,84;2,85;2,83;1,35;1,3;1,26
61350;1,62;1,62;1,62;1,63;1,63;1,06;1,62;1,63;1,62;1,62;1,6;1,58
61210;1,15;1,95;1,98;2,02;2,2;2,98;tapado;tapado;tapado;tapado;1,09;1,06
61423;2,24;2,21;3,2;3,23;3,3;3,42;3,6;3,62;3,6;1,9;1,88;1,85
61300;1,57;1,57;1,57;1,58;1,58;1,58;1,57;1,57;1,56;1,56;1,55;1,54
61271;2,13;2,03;2,06;2,1;2,7;2,78;3,05;3,06;3,04;2,23;2,2;2,16
54390;1,62;2,45;2,47;2,5;3,04;3,42;3,48;3,5;3,48;1,84;1,82;1,78
61230;2,3;2,68;2,7;2,74;3,27;3,32;3,7;3,73;3,7;1,72;1,68;1,65
61250;3,05;2,98;3,02;3,06;3,3;3,28;3,52;3,53;3,52;3,2;3,16;3,14
61383;2,35;2,52;2,54;2,57;2,56;2,42;2,58;2,61;2,58;2,46;2,43;2,4
61267;3,15;3,35;3,4;3,44;4,35;4,6;4,86;4,88;4,86;3,65;3,62;3,6
61390;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado
61403;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;tapado;roto;roto;roto
