Freatimetro;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
54390;2,74;2,77;2,8;2,79;2,82;3,07;3,08;3,42;;;;
60040;1,44;1,71;1,86;1,43;1,71;1,74;1,92;1,88;;;;
60075;1,9;2,1;1,71;1,09;2,06;1,78;2,25;2,4;;;;
60080;;;1,1;0,88;1,2;1,4;1,6;1,72;;;;
60095;1,4;1,6;1,52;1,32;1,64;1,64;1,98;2,03;;;;
60140;2,77;2,77;2,73;2,75;3,16;3,16;3,6;3,52;;;;
60151;;;;;;;;2,71;;;;
60160;2,2;1,62;1,62;1,51;1,63;1,72;1,73;1,82;;;;
60170;;;;;;;;3,09;;;;
60230;1,65;1,63;1,87;1,72;2,2;2,2;2,6;2,72;;;;
60300;1,08;1,1;1,2;1,09;1,33;1,72;1,61;2;;;;
60410;1,4;1,47;1,88;1,28;2,02;2,01;2,02;2,05;;;;
60430;1,57;1,43;1,87;1,62;1,67;1,88;1,47;2,12;;;;
60440;0,75;1,19;1,25;1,29;;1,4;1,59;1,62;;;;
60451;;;;;;;;2,26;;;;
60455;2,82;2,6;2,62;2,48;2,69;2,47;2,86;3,26;;;;
60460;2,7;1,82;1,48;1,96;2,1;2,1;2,37;3,23;;;;
60480;;;;;;;;3,51;;;;
60520;1,92;1,83;2,3;1,92;2,29;2,3;2,9;2,52;;;;
60561;1,17;1,58;1,39;1,53;1,9;2,07;2,27;2,37;;;;
60565;0,97;1,34;0,55;1,19;;1,73;;2,08;;;;
60590;3,5;3,7;3,4;3,5;3,8;3,7;3,79;3,78;;;;
60610;2,92;3,1;3,05;3,09;3,15;3,27;3,36;3,77;;;;
60660;1,42;2,07;1,42;1,9;2,13;2,16;2,17;2,18;;;;
60685;;;;;;;;2,95;;;;
60735;1,19;1,6;1,33;1,51;1,97;2,25;2,25;2,24;;;;
60771;1,3;1,96;1,4;1,59;1,69;1,87;1,93;2,08;;;;
60927;1,75;1,83;1,89;2,15;2,9;3,1;;3,2;;;;
60933;1,67;1,63;;;;;;2,17;;;;
60947;2,07;2,13;2,81;2,35;2,73;2,93;;3,06;;;;
60955;1,95;2,02;2,34;2,23;2,33;2,39;;2,6;;;;
60970;1,63;1,69;1,71;;2,13;2;;2,28;;;;
60990;2,76;2,95;3,05;2,96;2,94;2,82;;2,93;;;;
61061;1,12;1,14;1,31;;;;;2,18;;;;
61107;2,37;2,29;2,23;;2,79;2,8;;3,45;;;;
61137;1,7;1,68;2,17;2,18;2,35;2,95;;3,39;;;;
61140;;;;1,64;1,99;;;;;;;
61150;2,01;2,24;2,21;2,11;2,16;2,24;2,29;2,44;;;;
61190;1,76;2,07;1,9;1,85;2,13;2,22;2,37;2,41;;;;
61210;1,32;1,97;1,71;1,43;2,15;2,4;2,68;2,78;;;;
61230;2,1;2,15;2,18;2,16;2,19;3;3,02;3,44;;;;
61250;2,75;2,78;2,82;2,8;2,83;2,53;2,54;3,19;;;;
61271;2,92;2,94;2,98;2,95;2,98;;;2,77;;;;
61341;1,77;1,18;2,03;1,94;2,1;2,18;2,27;2,33;;;;
61350;1,58;1,67;1,68;1,68;1,61;1,68;1,68;1,69;;;;
61383;3,47;3,48;3,51;3,49;3,52;3,25;3,23;3,93;;;;
61390;3,05;3,08;3,12;3,09;3,12;3,82;3,84;4,7;;;;
61403;2,77;2,8;2,84;2,82;2,85;2,55;2,57;3,33;;;;
61423;1,89;2,2;2,33;2,28;2,43;3,11;3,48;3,6;;;;
61465;;;;;;;;2,87;;;;
62053;2,03;2,13;1,95;1,78;2,01;2,01;2,27;2,43;;;;
