Dia;Mes;Año;Fecha;Altura (m);Cota IGN (msnm);Cota IGN (msnm) corregida
28;10;2014;28/10/2014;1,41;197,71;198,62
29;10;2014;29/10/2014;1,42;197,718;198,628
30;10;2014;30/10/2014;1,4;197,705;198,615
31;10;2014;31/10/2014;1,38;197,681;198,591
1;11;2014;1/11/2014;;;
2;11;2014;2/11/2014;;;
3;11;2014;3/11/2014;;;
4;11;2014;4/11/2014;;;
5;11;2014;5/11/2014;;;
6;11;2014;6/11/2014;;;
7;11;2014;7/11/2014;;;
8;11;2014;8/11/2014;;;
9;11;2014;9/11/2014;;;
10;11;2014;10/11/2014;;;
11;11;2014;11/11/2014;;;
12;11;2014;12/11/2014;;;
13;11;2014;13/11/2014;;;
14;11;2014;14/11/2014;;;
15;11;2014;15/11/2014;;;
16;11;2014;16/11/2014;;;
17;11;2014;17/11/2014;;;
18;11;2014;18/11/2014;;;
19;11;2014;19/11/2014;;;
20;11;2014;20/11/2014;;;
21;11;2014;21/11/2014;;;
22;11;2014;22/11/2014;;;
23;11;2014;23/11/2014;;;
24;11;2014;24/11/2014;;;
25;11;2014;25/11/2014;;;
26;11;2014;26/11/2014;;;
27;11;2014;27/11/2014;;;
28;11;2014;28/11/2014;;;
29;11;2014;29/11/2014;;;
30;11;2014;30/11/2014;;;
1;12;2014;1/12/2014;1,31;197,605;198,515
2;12;2014;2/12/2014;1,31;197,605;198,515
3;12;2014;3/12/2014;1,31;197,613;198,523
4;12;2014;4/12/2014;1,53;197,832;198,742
5;12;2014;5/12/2014;1,44;197,743;198,653
6;12;2014;6/12/2014;1,34;197,637;198,547
7;12;2014;7/12/2014;1,32;197,621;198,531
8;12;2014;8/12/2014;1,33;197,628;198,538
9;12;2014;9/12/2014;1,32;197,621;198,531
10;12;2014;10/12/2014;1,32;197,617;198,527
11;12;2014;11/12/2014;1,31;197,613;198,523
12;12;2014;12/12/2014;1,31;197,609;198,519
13;12;2014;13/12/2014;1,31;197,608;198,518
14;12;2014;14/12/2014;1,31;197,609;198,519
15;12;2014;15/12/2014;1,36;197,658;198,568
16;12;2014;16/12/2014;1,37;197,668;198,578
17;12;2014;17/12/2014;1,34;197,644;198,554
18;12;2014;18/12/2014;1,33;197,629;198,539
19;12;2014;19/12/2014;1,32;197,622;198,532
20;12;2014;20/12/2014;1,32;197,616;198,526
21;12;2014;21/12/2014;1,32;197,622;198,532
22;12;2014;22/12/2014;1,32;197,62;198,53
23;12;2014;23/12/2014;1,32;197,621;198,531
24;12;2014;24/12/2014;1,32;197,615;198,525
25;12;2014;25/12/2014;1,32;197,616;198,526
26;12;2014;26/12/2014;1,32;197,619;198,529
27;12;2014;27/12/2014;1,31;197,614;198,524
28;12;2014;28/12/2014;1,31;197,611;198,521
29;12;2014;29/12/2014;1,31;197,612;198,522
30;12;2014;30/12/2014;1,31;197,607;198,517
31;12;2014;31/12/2014;1,31;197,606;198,516
1;1;2015;1/1/2015;1,31;197,608;198,518
2;1;2015;2/1/2015;1,32;197,619;198,529
3;1;2015;3/1/2015;1,31;197,613;198,523
4;1;2015;4/1/2015;1,31;197,615;198,525
5;1;2015;5/1/2015;1,31;197,615;198,525
6;1;2015;6/1/2015;1,31;197,612;198,522
7;1;2015;7/1/2015;1,42;197,721;198,631
8;1;2015;8/1/2015;1,46;197,761;198,671
9;1;2015;9/1/2015;1,49;197,794;198,704
10;1;2015;10/1/2015;1,55;197,848;198,758
11;1;2015;11/1/2015;1,55;197,851;198,761
12;1;2015;12/1/2015;1,56;197,857;198,767
13;1;2015;13/1/2015;1,55;197,854;198,764
14;1;2015;14/1/2015;1,55;197,855;198,765
15;1;2015;15/1/2015;1,55;197,851;198,761
16;1;2015;16/1/2015;1,57;197,871;198,781
17;1;2015;17/1/2015;1,55;197,854;198,764
18;1;2015;18/1/2015;1,58;197,884;198,794
19;1;2015;19/1/2015;1,57;197,866;198,776
20;1;2015;20/1/2015;1,57;197,867;198,777
21;1;2015;21/1/2015;1,58;197,878;198,788
22;1;2015;22/1/2015;1,64;197,939;198,849
23;1;2015;23/1/2015;1,64;197,94;198,85
24;1;2015;24/1/2015;1,65;197,954;198,864
25;1;2015;25/1/2015;1,63;197,925;198,835
26;1;2015;26/1/2015;1,64;197,94;198,85
27;1;2015;27/1/2015;1,6;197,902;198,812
28;1;2015;28/1/2015;1,61;197,907;198,817
29;1;2015;29/1/2015;1,6;197,905;198,815
30;1;2015;30/1/2015;1,59;197,892;198,802
31;1;2015;31/1/2015;1,61;197,906;198,816
1;2;2015;1/2/2015;1,61;197,908;198,818
2;2;2015;2/2/2015;1,61;197,915;198,825
3;2;2015;3/2/2015;1,69;197,989;198,899
4;2;2015;4/2/2015;1,77;198,075;198,985
5;2;2015;5/2/2015;1,77;198,065;198,975
6;2;2015;6/2/2015;1,69;197,994;198,904
7;2;2015;7/2/2015;1,68;197,977;198,887
8;2;2015;8/2/2015;1,68;197,977;198,887
9;2;2015;9/2/2015;1,68;197,976;198,886
10;2;2015;10/2/2015;1,65;197,954;198,864
11;2;2015;11/2/2015;1,67;197,965;198,875
12;2;2015;12/2/2015;1,66;197,955;198,865
13;2;2015;13/2/2015;1,65;197,948;198,858
14;2;2015;14/2/2015;1,64;197,939;198,849
15;2;2015;15/2/2015;1,66;197,96;198,87
16;2;2015;16/2/2015;1,7;197,998;198,908
17;2;2015;17/2/2015;1,66;197,961;198,871
18;2;2015;18/2/2015;1,63;197,928;198,838
19;2;2015;19/2/2015;1,62;197,917;198,827
20;2;2015;20/2/2015;1,62;197,924;198,834
21;2;2015;21/2/2015;1,62;197,922;198,832
22;2;2015;22/2/2015;1,62;197,92;198,83
23;2;2015;23/2/2015;1,63;197,932;198,842
24;2;2015;24/2/2015;1,6;197,901;198,811
25;2;2015;25/2/2015;1,6;197,905;198,815
26;2;2015;26/2/2015;1,6;197,897;198,807
27;2;2015;27/2/2015;1,61;197,909;198,819
28;2;2015;28/2/2015;1,61;197,911;198,821
1;3;2015;1/3/2015;1,57;197,867;198,777
2;3;2015;2/3/2015;1,55;197,855;198,765
3;3;2015;3/3/2015;1,52;197,82;198,73
4;3;2015;4/3/2015;1,53;197,831;198,741
5;3;2015;5/3/2015;1,53;197,827;198,737
6;3;2015;6/3/2015;1,53;197,83;198,74
7;3;2015;7/3/2015;1,52;197,823;198,733
8;3;2015;8/3/2015;1,54;197,844;198,754
9;3;2015;9/3/2015;1,54;197,839;198,749
10;3;2015;10/3/2015;1,54;197,844;198,754
11;3;2015;11/3/2015;1,55;197,846;198,756
12;3;2015;12/3/2015;1,54;197,84;198,75
13;3;2015;13/3/2015;1,54;197,841;198,751
14;3;2015;14/3/2015;1,53;197,829;198,739
15;3;2015;15/3/2015;1,55;197,846;198,756
16;3;2015;16/3/2015;1,56;197,863;198,773
17;3;2015;17/3/2015;1,55;197,852;198,762
18;3;2015;18/3/2015;1,55;197,852;198,762
19;3;2015;19/3/2015;1,57;197,869;198,779
20;3;2015;20/3/2015;1,57;197,868;198,778
21;3;2015;21/3/2015;1,57;197,868;198,778
22;3;2015;22/3/2015;1,58;197,876;198,786
23;3;2015;23/3/2015;1,59;197,894;198,804
24;3;2015;24/3/2015;1,61;197,906;198,816
25;3;2015;25/3/2015;1,6;197,899;198,809
26;3;2015;26/3/2015;1,58;197,879;198,789
27;3;2015;27/3/2015;1,59;197,89;198,8
28;3;2015;28/3/2015;1,59;197,888;198,798
29;3;2015;29/3/2015;1,59;197,895;198,805
30;3;2015;30/3/2015;1,6;197,901;198,811
31;3;2015;31/3/2015;1,59;197,893;198,803
1;4;2015;1/4/2015;1,61;197,906;198,816
2;4;2015;2/4/2015;1,6;197,905;198,815
3;4;2015;3/4/2015;1,61;197,907;198,817
4;4;2015;4/4/2015;1,62;197,918;198,828
5;4;2015;5/4/2015;1,64;197,937;198,847
6;4;2015;6/4/2015;1,64;197,942;198,852
7;4;2015;7/4/2015;1,63;197,935;198,845
8;4;2015;8/4/2015;1,64;197,938;198,848
9;4;2015;9/4/2015;1,64;197,936;198,846
10;4;2015;10/4/2015;1,63;197,934;198,844
11;4;2015;11/4/2015;1,62;197,918;198,828
12;4;2015;12/4/2015;1,64;197,938;198,848
13;4;2015;13/4/2015;1,65;197,953;198,863
14;4;2015;14/4/2015;1,64;197,936;198,846
15;4;2015;15/4/2015;1,64;197,94;198,85
16;4;2015;16/4/2015;1,69;197,987;198,897
17;4;2015;17/4/2015;1,7;198,004;198,914
18;4;2015;18/4/2015;1,69;197,991;198,901
19;4;2015;19/4/2015;1,7;198;198,91
20;4;2015;20/4/2015;1,7;198,002;198,912
21;4;2015;21/4/2015;1,68;197,979;198,889
22;4;2015;22/4/2015;1,69;197,993;198,903
23;4;2015;23/4/2015;1,68;197,978;198,888
24;4;2015;24/4/2015;1,68;197,983;198,893
25;4;2015;25/4/2015;1,69;197,988;198,898
26;4;2015;26/4/2015;1,69;197,992;198,902
27;4;2015;27/4/2015;1,7;197,999;198,909
28;4;2015;28/4/2015;1,69;197,992;198,902
29;4;2015;29/4/2015;1,71;198,011;198,921
30;4;2015;30/4/2015;1,72;198,017;198,927
1;5;2015;1/5/2015;1,74;198,045;198,955
2;5;2015;2/5/2015;1,73;198,034;198,944
3;5;2015;3/5/2015;1,73;198,031;198,941
4;5;2015;4/5/2015;1,73;198,034;198,944
5;5;2015;5/5/2015;1,75;198,049;198,959
6;5;2015;6/5/2015;1,8;198,104;199,014
7;5;2015;7/5/2015;1,71;198,015;198,925
8;5;2015;8/5/2015;1,7;197,999;198,909
9;5;2015;9/5/2015;1,74;198,039;198,949
10;5;2015;10/5/2015;1,67;197,966;198,876
11;5;2015;11/5/2015;1,66;197,96;198,87
12;5;2015;12/5/2015;1,65;197,949;198,859
13;5;2015;13/5/2015;1,64;197,944;198,854
14;5;2015;14/5/2015;1,61;197,908;198,818
15;5;2015;15/5/2015;1,58;197,881;198,791
16;5;2015;16/5/2015;1,59;197,89;198,8
17;5;2015;17/5/2015;1,58;197,879;198,789
18;5;2015;18/5/2015;1,57;197,868;198,778
19;5;2015;19/5/2015;1,57;197,87;198,78
20;5;2015;20/5/2015;1,57;197,869;198,779
21;5;2015;21/5/2015;1,56;197,859;198,769
22;5;2015;22/5/2015;1,55;197,846;198,756
23;5;2015;23/5/2015;1,54;197,844;198,754
24;5;2015;24/5/2015;1,55;197,846;198,756
25;5;2015;25/5/2015;1,54;197,835;198,745
26;5;2015;26/5/2015;1,53;197,834;198,744
27;5;2015;27/5/2015;1,51;197,806;198,716
28;5;2015;28/5/2015;1,41;197,712;198,622
29;5;2015;29/5/2015;1,38;197,68;198,59
30;5;2015;30/5/2015;1,37;197,668;198,578
31;5;2015;31/5/2015;1,36;197,66;198,57
1;6;2015;1/6/2015;1,36;197,66;198,57
2;6;2015;2/6/2015;1,33;197,633;198,543
3;6;2015;3/6/2015;1,32;197,619;198,529
4;6;2015;4/6/2015;1,32;197,619;198,529
5;6;2015;5/6/2015;1,43;197,728;198,638
6;6;2015;6/6/2015;1,77;198,065;198,975
7;6;2015;7/6/2015;1,9;198,204;199,114
8;6;2015;8/6/2015;2,02;198,317;199,227
9;6;2015;9/6/2015;2,09;198,394;199,304
10;6;2015;10/6/2015;2,4;198,702;199,612
11;6;2015;11/6/2015;2,65;198,952;199,862
12;6;2015;12/6/2015;2,89;199,192;200,102
13;6;2015;13/6/2015;3,11;199,415;200,325
14;6;2015;14/6/2015;3,17;199,467;200,377
15;6;2015;15/6/2015;3,16;199,46;200,37
16;6;2015;16/6/2015;3,15;199,45;200,36
17;6;2015;17/6/2015;3,15;199,447;200,357
18;6;2015;18/6/2015;3,15;199,446;200,356
19;6;2015;19/6/2015;3,15;199,449;200,359
20;6;2015;20/6/2015;3,19;199,494;200,404
21;6;2015;21/6/2015;3,16;199,458;200,368
22;6;2015;22/6/2015;3,19;199,486;200,396
23;6;2015;23/6/2015;3,14;199,435;200,345
24;6;2015;24/6/2015;3,14;199,435;200,345
25;6;2015;25/6/2015;3,14;199,44;200,35
26;6;2015;26/6/2015;3,02;199,319;200,229
27;6;2015;27/6/2015;2,99;199,287;200,197
28;6;2015;28/6/2015;2,89;199,192;200,102
29;6;2015;29/6/2015;2,88;199,183;200,093
30;6;2015;30/6/2015;2,86;199,156;200,066
1;7;2015;1/7/2015;2,8;199,097;200,007
2;7;2015;2/7/2015;2,5;198,8;199,71
3;7;2015;3/7/2015;2,5;198,8;199,71
4;7;2015;4/7/2015;2,49;198,791;199,701
5;7;2015;5/7/2015;2,49;198,794;199,704
6;7;2015;6/7/2015;2,49;198,793;199,703
7;7;2015;7/7/2015;2,49;198,788;199,698
8;7;2015;8/7/2015;2,48;198,784;199,694
9;7;2015;9/7/2015;2,52;198,824;199,734
10;7;2015;10/7/2015;2,34;198,64;199,55
11;7;2015;11/7/2015;2,23;198,529;199,439
12;7;2015;12/7/2015;2,22;198,516;199,426
13;7;2015;13/7/2015;2,2;198,501;199,411
14;7;2015;14/7/2015;2,19;198,489;199,399
15;7;2015;15/7/2015;2,19;198,494;199,404
16;7;2015;16/7/2015;2,2;198,5;199,41
17;7;2015;17/7/2015;2,2;198,497;199,407
18;7;2015;18/7/2015;2,19;198,488;199,398
19;7;2015;19/7/2015;2,18;198,484;199,394
20;7;2015;20/7/2015;2,17;198,472;199,382
21;7;2015;21/7/2015;2,19;198,49;199,4
22;7;2015;22/7/2015;2,2;198,5;199,41
23;7;2015;23/7/2015;2,19;198,493;199,403
24;7;2015;24/7/2015;2,19;198,494;199,404
25;7;2015;25/7/2015;2,12;198,424;199,334
26;7;2015;26/7/2015;2,23;198,533;199,443
27;7;2015;27/7/2015;2,41;198,708;199,618
28;7;2015;28/7/2015;2,69;198,989;199,899
29;7;2015;29/7/2015;2,97;199,271;200,181
30;7;2015;30/7/2015;3,22;199,515;200,425
31;7;2015;31/7/2015;3,48;199,784;200,694
1;8;2015;1/8/2015;3,48;199,783;200,693
2;8;2015;2/8/2015;3,14;199,442;200,352
3;8;2015;3/8/2015;2,88;199,185;200,095
4;8;2015;4/8/2015;2,84;199,138;200,048
5;8;2015;5/8/2015;2,83;199,133;200,043
6;8;2015;6/8/2015;2,85;199,148;200,058
7;8;2015;7/8/2015;2,85;199,154;200,064
8;8;2015;8/8/2015;2,85;199,153;200,063
9;8;2015;9/8/2015;2,86;199,163;200,073
10;8;2015;10/8/2015;2,86;199,157;200,067
11;8;2015;11/8/2015;2,85;199,152;200,062
12;8;2015;12/8/2015;2,85;199,15;200,06
13;8;2015;13/8/2015;2,84;199,145;200,055
14;8;2015;14/8/2015;2,85;199,149;200,059
15;8;2015;15/8/2015;2,84;199,142;200,052
16;8;2015;16/8/2015;2,84;199,145;200,055
17;8;2015;17/8/2015;2,83;199,132;200,042
18;8;2015;18/8/2015;2,83;199,132;200,042
19;8;2015;19/8/2015;2,82;199,12;200,03
20;8;2015;20/8/2015;2,83;199,126;200,036
21;8;2015;21/8/2015;2,68;198,976;199,886
22;8;2015;22/8/2015;2,46;198,759;199,669
23;8;2015;23/8/2015;2,41;198,706;199,616
24;8;2015;24/8/2015;2,41;198,711;199,621
25;8;2015;25/8/2015;2,38;198,676;199,586
26;8;2015;26/8/2015;2,36;198,662;199,572
27;8;2015;27/8/2015;2,38;198,682;199,592
28;8;2015;28/8/2015;2,25;198,546;199,456
29;8;2015;29/8/2015;2,06;198,356;199,266
30;8;2015;30/8/2015;1,97;198,271;199,181
31;8;2015;31/8/2015;1,95;198,248;199,158
1;9;2015;1/9/2015;1,93;198,232;199,142
2;9;2015;2/9/2015;1,94;198,239;199,149
3;9;2015;3/9/2015;2,07;198,367;199,277
4;9;2015;4/9/2015;2,28;198,579;199,489
5;9;2015;5/9/2015;2,58;198,877;199,787
6;9;2015;6/9/2015;2,84;199,144;200,054
7;9;2015;7/9/2015;3,02;199,316;200,226
8;9;2015;8/9/2015;2,94;199,238;200,148
9;9;2015;9/9/2015;2,95;199,252;200,162
10;9;2015;10/9/2015;2,92;199,225;200,135
11;9;2015;11/9/2015;2,97;199,269;200,179
12;9;2015;12/9/2015;2,99;199,287;200,197
13;9;2015;13/9/2015;3;199,298;200,208
14;9;2015;14/9/2015;2,98;199,284;200,194
15;9;2015;15/9/2015;2,95;199,246;200,156
16;9;2015;16/9/2015;2,92;199,222;200,132
17;9;2015;17/9/2015;2,85;199,154;200,064
18;9;2015;18/9/2015;2,79;199,093;200,003
19;9;2015;19/9/2015;2,61;198,906;199,816
20;9;2015;20/9/2015;2,34;198,643;199,553
21;9;2015;21/9/2015;2,34;198,639;199,549
22;9;2015;22/9/2015;2,35;198,646;199,556
23;9;2015;23/9/2015;2,46;198,758;199,668
24;9;2015;24/9/2015;2,76;199,058;199,968
25;9;2015;25/9/2015;2,8;199,101;200,011
26;9;2015;26/9/2015;2,8;199,1;200,01
27;9;2015;27/9/2015;2,8;199,098;200,008
28;9;2015;28/9/2015;2,8;199,102;200,012
29;9;2015;29/9/2015;2,66;198,961;199,871
30;9;2015;30/9/2015;2,31;198,611;199,521
1;10;2015;1/10/2015;2,24;198,541;199,451
2;10;2015;2/10/2015;2,22;198,521;199,431
3;10;2015;3/10/2015;2,23;198,526;199,436
4;10;2015;4/10/2015;2,24;198,544;199,454
5;10;2015;5/10/2015;2,23;198,533;199,443
6;10;2015;6/10/2015;2,24;198,538;199,448
7;10;2015;7/10/2015;2,52;198,825;199,735
8;10;2015;8/10/2015;2,6;198,898;199,808
9;10;2015;9/10/2015;2,62;198,922;199,832
10;10;2015;10/10/2015;2,68;198,984;199,894
11;10;2015;11/10/2015;2,74;199,037;199,947
12;10;2015;12/10/2015;2,75;199,047;199,957
13;10;2015;13/10/2015;2,74;199,037;199,947
14;10;2015;14/10/2015;2,72;199,024;199,934
15;10;2015;15/10/2015;2,71;199,015;199,925
16;10;2015;16/10/2015;2,7;198,998;199,908
17;10;2015;17/10/2015;2,71;199,008;199,918
18;10;2015;18/10/2015;2,54;198,841;199,751
19;10;2015;19/10/2015;2,26;198,565;199,475
20;10;2015;20/10/2015;2,17;198,468;199,378
21;10;2015;21/10/2015;2,16;198,457;199,367
22;10;2015;22/10/2015;2,14;198,442;199,352
23;10;2015;23/10/2015;2,14;198,445;199,355
24;10;2015;24/10/2015;2,15;198,452;199,362
25;10;2015;25/10/2015;2,04;198,344;199,254
26;10;2015;26/10/2015;1,93;198,234;199,144
27;10;2015;27/10/2015;1,9;198,198;199,108
28;10;2015;28/10/2015;1,88;198,179;199,089
29;10;2015;29/10/2015;1,86;198,161;199,071
30;10;2015;30/10/2015;1,84;198,137;199,047
31;10;2015;31/10/2015;1,83;198,132;199,042
1;11;2015;1/11/2015;1,84;198,135;199,045
2;11;2015;2/11/2015;1,84;198,141;199,051
3;11;2015;3/11/2015;1,83;198,128;199,038
4;11;2015;4/11/2015;1,7;198,002;198,912
5;11;2015;5/11/2015;1,62;197,916;198,826
6;11;2015;6/11/2015;1,58;197,88;198,79
7;11;2015;7/11/2015;1,57;197,866;198,776
8;11;2015;8/11/2015;1,57;197,871;198,781
9;11;2015;9/11/2015;1,58;197,876;198,786
10;11;2015;10/11/2015;1,56;197,864;198,774
11;11;2015;11/11/2015;1,56;197,861;198,771
12;11;2015;12/11/2015;1,56;197,86;198,77
13;11;2015;13/11/2015;1,54;197,837;198,747
14;11;2015;14/11/2015;1,51;197,811;198,721
15;11;2015;15/11/2015;1,49;197,79;198,7
16;11;2015;16/11/2015;1,46;197,765;198,675
17;11;2015;17/11/2015;1,45;197,748;198,658
18;11;2015;18/11/2015;1,46;197,759;198,669
19;11;2015;19/11/2015;1,48;197,775;198,685
20;11;2015;20/11/2015;1,49;197,787;198,697
21;11;2015;21/11/2015;1,5;197,797;198,707
22;11;2015;22/11/2015;1,5;197,8;198,71
23;11;2015;23/11/2015;1,5;197,803;198,713
24;11;2015;24/11/2015;1,47;197,774;198,684
25;11;2015;25/11/2015;1,46;197,756;198,666
26;11;2015;26/11/2015;1,46;197,758;198,668
27;11;2015;27/11/2015;1,48;197,78;198,69
28;11;2015;28/11/2015;1,54;197,844;198,754
29;11;2015;29/11/2015;1,58;197,883;198,793
30;11;2015;30/11/2015;1,58;197,884;198,794
1;12;2015;1/12/2015;1,56;197,861;198,771
2;12;2015;2/12/2015;1,57;197,868;198,778
3;12;2015;3/12/2015;1,57;197,868;198,778
4;12;2015;4/12/2015;;;
5;12;2015;5/12/2015;;;
6;12;2015;6/12/2015;;;
7;12;2015;7/12/2015;;;
8;12;2015;8/12/2015;;;
9;12;2015;9/12/2015;;;
10;12;2015;10/12/2015;;;
11;12;2015;11/12/2015;;;
12;12;2015;12/12/2015;;;
13;12;2015;13/12/2015;;;
14;12;2015;14/12/2015;;;
15;12;2015;15/12/2015;;;
16;12;2015;16/12/2015;;;
17;12;2015;17/12/2015;;;
18;12;2015;18/12/2015;;;
19;12;2015;19/12/2015;;;
20;12;2015;20/12/2015;;;
21;12;2015;21/12/2015;;;
22;12;2015;22/12/2015;;;
23;12;2015;23/12/2015;;;
24;12;2015;24/12/2015;;;
25;12;2015;25/12/2015;;;
26;12;2015;26/12/2015;;;
27;12;2015;27/12/2015;;;
28;12;2015;28/12/2015;;;
29;12;2015;29/12/2015;;;
30;12;2015;30/12/2015;;;
31;12;2015;31/12/2015;;;
1;1;2016;1/1/2016;;;
2;1;2016;2/1/2016;;;
3;1;2016;3/1/2016;;;
4;1;2016;4/1/2016;;;
5;1;2016;5/1/2016;;;
6;1;2016;6/1/2016;;;
7;1;2016;7/1/2016;;;
8;1;2016;8/1/2016;;;
9;1;2016;9/1/2016;;;
10;1;2016;10/1/2016;;;
11;1;2016;11/1/2016;;;
12;1;2016;12/1/2016;;;
13;1;2016;13/1/2016;;;
14;1;2016;14/1/2016;;;
15;1;2016;15/1/2016;;;
16;1;2016;16/1/2016;;;
17;1;2016;17/1/2016;;;
18;1;2016;18/1/2016;;;
19;1;2016;19/1/2016;;;
20;1;2016;20/1/2016;;;
21;1;2016;21/1/2016;;;
22;1;2016;22/1/2016;;;
23;1;2016;23/1/2016;;;
24;1;2016;24/1/2016;;;
25;1;2016;25/1/2016;;;
26;1;2016;26/1/2016;;;
27;1;2016;27/1/2016;;;
28;1;2016;28/1/2016;;;
29;1;2016;29/1/2016;;;
30;1;2016;30/1/2016;;;
31;1;2016;31/1/2016;;;
;;2016;1/2/2016;;;
;;2016;2/2/2016;;;
;;2016;3/2/2016;;;
;;2016;4/2/2016;;;
;;2016;5/2/2016;;;
;;2016;6/2/2016;;;
;;2016;7/2/2016;;;
;;2016;8/2/2016;;;
;;2016;9/2/2016;;;
;;2016;10/2/2016;;;
;;2016;11/2/2016;;;
;;2016;12/2/2016;;;
;;2016;13/2/2016;;;
;;2016;14/2/2016;;;
;;2016;15/2/2016;;;
;;2016;16/2/2016;;;
;;2016;17/2/2016;;;
18;2;2016;18/2/2016;1,86;198,165;199,075
19;2;2016;19/2/2016;1,77;198,066;198,976
20;2;2016;20/2/2016;1,68;197,982;198,892
21;2;2016;21/2/2016;1,66;197,964;198,874
22;2;2016;22/2/2016;1,67;197,971;198,881
23;2;2016;23/2/2016;1,65;197,95;198,86
24;2;2016;24/2/2016;1,65;197,946;198,856
25;2;2016;25/2/2016;1,63;197,935;198,845
26;2;2016;26/2/2016;1,64;197,937;198,847
27;2;2016;27/2/2016;1,63;197,928;198,838
28;2;2016;28/2/2016;1,65;197,946;198,856
29;2;2016;29/2/2016;1,64;197,945;198,855
1;3;2016;1/3/2016;1,68;197,979;198,889
2;3;2016;2/3/2016;1,69;197,989;198,899
3;3;2016;3/3/2016;1,67;197,972;198,882
4;3;2016;4/3/2016;1,68;197,984;198,894
5;3;2016;5/3/2016;1,67;197,968;198,878
6;3;2016;6/3/2016;1,69;197,987;198,897
7;3;2016;7/3/2016;1,72;198,016;198,926
8;3;2016;8/3/2016;1,73;198,027;198,937
9;3;2016;9/3/2016;1,7;198,002;198,912
10;3;2016;10/3/2016;1,73;198,026;198,936
11;3;2016;11/3/2016;1,74;198,043;198,953
12;3;2016;12/3/2016;1,76;198,056;198,966
13;3;2016;13/3/2016;1,76;198,06;198,97
14;3;2016;14/3/2016;1,77;198,067;198,977
15;3;2016;15/3/2016;1,74;198,035;198,945
16;3;2016;16/3/2016;1,73;198,028;198,938
17;3;2016;17/3/2016;1,74;198,037;198,947
18;3;2016;18/3/2016;1,73;198,028;198,938
19;3;2016;19/3/2016;1,77;198,072;198,982
20;3;2016;20/3/2016;1,75;198,054;198,964
21;3;2016;21/3/2016;1,77;198,071;198,981
22;3;2016;22/3/2016;1,73;198,031;198,941
23;3;2016;23/3/2016;1,76;198,061;198,971
24;3;2016;24/3/2016;1,75;198,052;198,962
25;3;2016;25/3/2016;1,77;198,07;198,98
26;3;2016;26/3/2016;1,77;198,065;198,975
27;3;2016;27/3/2016;1,75;198,053;198,963
28;3;2016;28/3/2016;1,76;198,061;198,971
29;3;2016;29/3/2016;1,75;198,053;198,963
30;3;2016;30/3/2016;1,75;198,05;198,96
31;3;2016;31/3/2016;1,75;198,053;198,963
1;4;2016;1/4/2016;1,73;198,026;198,936
2;4;2016;2/4/2016;1,73;198,031;198,941
3;4;2016;3/4/2016;1,76;198,056;198,966
4;4;2016;4/4/2016;1,79;198,088;198,998
5;4;2016;5/4/2016;1,78;198,079;198,989
6;4;2016;6/4/2016;1,79;198,092;199,002
7;4;2016;7/4/2016;1,77;198,067;198,977
8;4;2016;8/4/2016;1,77;198,07;198,98
9;4;2016;9/4/2016;1,76;198,062;198,972
10;4;2016;10/4/2016;1,8;198,096;199,006
11;4;2016;11/4/2016;1,8;198,098;199,008
12;4;2016;12/4/2016;1,77;198,07;198,98
13;4;2016;13/4/2016;1,77;198,075;198,985
14;4;2016;14/4/2016;1,76;198,065;198,975
15;4;2016;15/4/2016;1,77;198,067;198,977
16;4;2016;16/4/2016;1,87;198,17;199,08
17;4;2016;17/4/2016;1,9;198,197;199,107
18;4;2016;18/4/2016;2,04;198,344;199,254
19;4;2016;19/4/2016;2,04;198,34;199,25
20;4;2016;20/4/2016;2,05;198,349;199,259
21;4;2016;21/4/2016;2,04;198,345;199,255
22;4;2016;22/4/2016;2,03;198,333;199,243
23;4;2016;23/4/2016;2,04;198,342;199,252
24;4;2016;24/4/2016;2,03;198,33;199,24
25;4;2016;25/4/2016;2,06;198,359;199,269
26;4;2016;26/4/2016;2,11;198,412;199,322
27;4;2016;27/4/2016;2,17;198,465;199,375
28;4;2016;28/4/2016;2,17;198,474;199,384
29;4;2016;29/4/2016;2,18;198,476;199,386
30;4;2016;30/4/2016;2,18;198,482;199,392
1;5;2016;1/5/2016;2,15;198,447;199,357
2;5;2016;2/5/2016;2,01;198,314;199,224
3;5;2016;3/5/2016;1,93;198,231;199,141
4;5;2016;4/5/2016;1,87;198,166;199,076
5;5;2016;5/5/2016;1,82;198,124;199,034
6;5;2016;6/5/2016;1,81;198,113;199,023
7;5;2016;7/5/2016;1,81;198,112;199,022
8;5;2016;8/5/2016;1,8;198,104;199,014
9;5;2016;9/5/2016;1,78;198,079;198,989
10;5;2016;10/5/2016;1,77;198,067;198,977
11;5;2016;11/5/2016;1,78;198,077;198,987
12;5;2016;12/5/2016;1,8;198,104;199,014
13;5;2016;13/5/2016;1,78;198,084;198,994
14;5;2016;14/5/2016;1,76;198,063;198,973
15;5;2016;15/5/2016;1,76;198,058;198,968
16;5;2016;16/5/2016;1,74;198,041;198,951
17;5;2016;17/5/2016;1,95;198,247;199,157
18;5;2016;18/5/2016;2,3;198,596;199,506
19;5;2016;19/5/2016;2,53;198,827;199,737
20;5;2016;20/5/2016;2,85;199,155;200,065
21;5;2016;21/5/2016;3,1;199,396;200,306
22;5;2016;22/5/2016;3,25;199,545;200,455
23;5;2016;23/5/2016;3,29;199,588;200,498
